sample_index,label,prediction,correct,measured_output_power_0,measured_output_power_1,measured_output_power_2,measured_output_power_3,measured_output_power_4,measured_output_power_5,measured_output_power_6,measured_output_power_7,measured_output_power_sum
0,7,7,1,2.319415e-05,1.965031e-05,1.610218e-05,5.870652e-06,1.017335e-05,7.064044e-06,1.379915e-05,3.53559e-05,0.000131209736
1,2,2,1,6.711739e-05,4.666899e-07,8.841778e-05,1.495458e-05,8.414697e-07,6.060266e-06,3.262002e-06,1.863334e-06,0.0001829835116
2,1,1,1,1.62214e-07,7.705497e-05,7.220353e-05,1.63963e-05,8.315345e-07,4.761313e-06,3.20685e-06,1.794703e-06,0.0001764114145
3,0,0,1,8.65713e-05,5.783369e-05,1.284484e-06,3.155038e-06,1.141821e-05,5.776466e-06,3.957635e-06,2.154464e-06,0.000172151287
4,4,4,1,3.601539e-05,2.928819e-05,3.361141e-05,2.445176e-05,3.415172e-05,1.991195e-05,6.973386e-07,2.31811e-06,0.00018044586860000003
5,1,1,1,1.633479e-07,7.700266e-05,7.260713e-05,1.644407e-05,8.285439e-07,4.571736e-06,2.951582e-06,1.862052e-06,0.0001764311218
6,4,4,1,3.4933e-05,2.990856e-05,3.448083e-05,2.491672e-05,3.307199e-05,2.023893e-05,7.064729e-07,2.080611e-06,0.00018033711389999998
7,5,5,1,3.532963e-05,2.729538e-05,2.250352e-05,4.036806e-06,5.148282e-07,4.642825e-05,2.831938e-05,1.000133e-06,0.0001654279272
8,0,0,1,8.669819e-05,5.797247e-05,1.346074e-06,2.12551e-06,1.232816e-05,5.964345e-06,3.747104e-06,1.937089e-06,0.000172118942
9,6,6,1,3.127211e-05,2.759384e-05,3.023802e-05,1.527813e-05,3.932835e-05,3.822266e-07,2.834984e-05,9.611265e-07,0.0001734036431
10,0,0,1,8.894954e-05,5.994703e-05,1.418799e-06,1.637186e-06,1.098956e-05,5.426023e-06,3.029009e-06,1.862073e-06,0.00017325922000000003
11,1,1,1,1.623591e-07,7.654059e-05,7.218577e-05,1.634703e-05,8.344878e-07,5.095731e-06,3.781237e-06,1.421353e-06,0.00017636855789999998
12,5,5,1,3.283959e-05,2.783381e-05,1.00901e-05,2.591973e-06,5.749951e-07,5.091266e-05,2.916452e-05,1.012535e-06,0.0001550201831
13,7,7,1,2.34032e-05,2.282799e-05,1.042767e-05,3.761516e-06,1.215851e-05,4.601567e-05,9.905024e-06,7.857613e-07,0.00012928534130000001
14,3,3,1,1.996718e-05,3.080831e-05,9.347785e-06,4.078929e-05,2.039983e-05,4.409498e-05,9.930469e-08,1.611105e-08,0.00016552279074
15,4,4,1,1.941111e-05,2.991031e-05,3.395795e-05,2.47257e-05,3.359171e-05,1.989621e-05,6.846584e-07,2.384084e-06,0.0001645617324
16,6,6,1,3.120381e-05,2.703786e-05,3.221192e-05,1.491697e-05,3.882639e-05,3.769549e-07,2.891422e-05,9.642831e-07,0.000174452408
17,6,6,1,3.071901e-05,2.747738e-05,3.791652e-05,1.50498e-05,3.816199e-05,3.824503e-07,2.791118e-05,9.550093e-07,0.0001785733396
18,5,5,1,3.288914e-05,2.759079e-05,1.248393e-05,2.643584e-06,5.42075e-07,5.101554e-05,2.873332e-05,1.006581e-06,0.00015690496
19,4,4,1,3.628555e-05,2.923646e-05,3.326869e-05,2.427862e-05,3.424595e-05,2.01029e-05,7.019976e-07,2.272496e-06,0.00018039266360000001
