local_sample_row,sample_index,label,input_channel,target_ratio,final_ratio,ratio_error,initial_coefficient,optimized_coefficient,initial_voltage,final_voltage,final_output_power,converged,final_loss_mae
0,0,7,1,0.04853375274140279,0.04225879204504813,-0.0062749606963546645,0.04853375274140279,0.021360358057488864,4.13,4.235,4.120127e-06,True,0.01246446854083838
0,0,7,2,0.04585953446424052,0.04464574531185463,-0.0012137891523858885,0.04585953446424052,0.025223354173601463,4.028,4.133,4.352849e-06,True,0.01246446854083838
0,0,7,3,0.05445180853624932,0.042884438792334285,-0.011567369743915035,0.05445180853624932,0.01130034429323357,4.004,4.131,4.181126e-06,True,0.01246446854083838
0,0,7,4,0.0657622742122842,0.09703910387044756,0.03127682965816336,0.0657622742122842,0.07064502272511097,4.04,4.035,9.461071e-06,True,0.01246446854083838
0,0,7,5,0.0749263691713232,0.09350741367651337,0.018581044505190172,0.0749263691713232,0.05876095713302941,3.817,3.837,9.11674e-06,True,0.01246446854083838
0,0,7,6,0.0799722152947205,0.07982221289548831,-0.00015000239923218528,0.0799722152947205,0.08753051623601299,4.184,4.178,7.782467e-06,True,0.01246446854083838
0,0,7,7,0.16090391636241536,0.16031147872391818,-0.000592437638497173,0.16090391636241536,0.17776509845502325,3.795,3.785,1.562997e-05,True,0.01246446854083838
0,0,7,8,0.4695901292173641,0.43953081468439553,-0.030059314532968562,0.4695901292173641,0.5474143489264994,3.936,3.9,4.285316e-05,True,0.01246446854083838
1,1,2,1,0.30112748492139063,0.3447550087885535,0.04362752386716284,0.30112748492139063,0.21190690397836656,3.967,4.006,5.500532e-05,True,0.016652968204725494
1,1,2,2,3.949233612730607e-05,0.006569479851799016,0.00652998751567171,3.949233612730607e-05,0.0,4.261,4.261,1.048154e-06,True,0.016652968204725494
1,1,2,3,0.2605194078203329,0.26765694295224357,0.007137535131910677,0.2605194078203329,0.0427459611130966,3.791,4.039,4.27044e-05,True,0.016652968204725494
1,1,2,4,0.2535214948949493,0.23440866373541686,-0.01911283115953244,0.2535214948949493,0.43516932839692446,3.885,3.776,3.739967e-05,True,0.016652968204725494
1,1,2,5,0.00023146866519655526,0.009548294969353272,0.009316826304156717,0.00023146866519655526,0.0,3.975,3.977,1.523421e-06,True,0.016652968204725494
1,1,2,6,0.06246592673983003,0.05530535761585332,-0.007160569123976709,0.06246592673983003,0.0927153525002098,4.198,4.174,8.823915e-06,True,0.016652968204725494
1,1,2,7,0.0642028209409295,0.0485653032166436,-0.015637517724285892,0.0642028209409295,0.11556980364686542,3.879,3.833,7.748546e-06,True,0.016652968204725494
1,1,2,8,0.05789190368124378,0.03319094887013682,-0.024700954811106957,0.05789190368124378,0.11714124616417201,4.188,4.137,5.295583e-06,True,0.016652968204725494
2,2,1,1,3.2616833985123054e-05,0.0010703112554248033,0.0010376944214396803,3.2616833985123054e-05,0.0,4.318,4.318,1.644237e-07,True,0.014063391500365719
2,2,1,2,0.34554617942804655,0.38677217830382526,0.04122599887577871,0.34554617942804655,0.2549670412096548,3.846,3.887,5.941684e-05,True,0.014063391500365719
2,2,1,3,0.26201364622309664,0.2672621370752269,0.00524849085213025,0.26201364622309664,0.055357758430683225,3.79,4.002,4.105743e-05,True,0.014063391500365719
2,2,1,4,0.21788565012853114,0.20193666946774183,-0.015948980660789314,0.21788565012853114,0.38575223625941657,3.909,3.804,3.102198e-05,True,0.014063391500365719
2,2,1,5,0.00014526290688107667,0.008886644758995333,0.008741381852114255,0.00014526290688107667,0.0,3.976,3.977,1.365187e-06,True,0.014063391500365719
2,2,1,6,0.056393989949513834,0.05128938238146677,-0.005104607568047065,0.056393989949513834,0.0852609394541671,4.209,4.18,7.879194e-06,True,0.014063391500365719
2,2,1,7,0.0596669998591548,0.04856967345260478,-0.01109732640655002,0.0596669998591548,0.10942578816260977,3.883,3.838,7.461386e-06,True,0.014063391500365719
2,2,1,8,0.058315654670790876,0.03421300330471441,-0.024102651366076464,0.058315654670790876,0.11864764893171348,4.187,4.136,5.255881e-06,True,0.014063391500365719
3,3,0,1,0.3778246775888568,0.4290882572699066,0.05126357968104983,0.3778246775888568,0.27072049087965744,3.934,3.979,7.092408e-05,True,0.01831658441846519
3,3,0,2,0.3314137315566839,0.3450601009953458,0.013646369438661876,0.3314137315566839,0.31950294308742505,3.853,3.858,5.703505e-05,True,0.01831658441846519
