global_target_layer,current_layer,layer_status,skip_reason,layer_iter,loss_before_iter,loss_after_iter,cosine_before_iter,cosine_after_iter,grad_norm,max_abs_grad,accepted,rejected,lr_used
6,1,skipped,first_or_last_layer_bar_fixed,,,,,,,,,,
6,2,optimized,,0.0,0.0098997128921585,0.0043903720503798,0.9953933305653716,0.9982288677748328,0.2648832493777632,0.1511709271366217,True,True,0.05
6,2,optimized,,1.0,0.0043958101350221,0.0029899909422994,0.9982235049381256,0.9989361169529736,3.8726859672455065,3.8717420080549214,True,False,0.00625
6,2,optimized,,2.0,0.0030003470340271,0.0027820148166247,0.9989275767512228,0.9989978190343476,0.054281270830304,0.0406664572311295,True,True,0.0125
6,2,optimized,,3.0,0.002766251907521,0.0026160030046926,0.9990098683671932,0.9990451083952304,0.0451545686269307,0.0395209897560053,True,True,0.00625
6,2,optimized,,4.0,0.0025844435865166,0.0024145343696124,0.9990608682140768,0.9991294625291716,0.0381011843737957,0.0352361322132046,True,True,0.00625
6,2,optimized,,5.0,0.0024548669892587,0.0023386514582397,0.9991064819044454,0.999150464145136,0.0347290941469142,0.0317180263522762,True,True,0.0125
6,2,optimized,,6.0,0.0023255108987389,0.0022567770586165,0.9991557894138192,0.999178314747618,3.935872741129311,3.935733566047434,True,True,0.05
6,2,optimized,,7.0,0.0022731613226179,0.0021751198896657,0.9991704528933524,0.9992056545467628,0.0293628803130354,0.0275031682942272,True,True,0.003125
6,3,optimized,,0.0,0.0184066572870412,0.0067589443005223,0.9911354586664024,0.9968723639524932,0.3884864827126079,0.2202793071555279,True,True,0.0015625
6,3,optimized,,1.0,0.0067439260481434,0.0060873015830636,0.9968781278910986,0.9971619670419856,0.0923152260214951,0.0562075597754883,True,True,0.003125
6,3,optimized,,2.0,0.0060816975728992,0.0060282679998877,0.9971597131719656,0.9971827216165308,2.8427025403987924,2.842552580405808,True,True,0.003125
6,3,optimized,,3.0,0.0060382361648766,0.0060071880569496,0.997174044708297,0.997200112652444,0.026393893597577,0.0168606547929205,True,True,0.00625
6,3,optimized,,4.0,0.0060475075309793,0.005997547545803,0.997178710579188,0.9972083917544023,0.0209121793641226,0.0117887121598286,True,True,0.1
6,4,optimized,,0.0,0.0406615339957822,0.02910858801748,0.9798629387979748,0.9853550072233904,0.3718073231290625,0.2297256548867615,True,True,0.05
6,4,optimized,,1.0,0.0290408287099874,0.021044955114527,0.9853889872948076,0.9894560788936412,5.261870825673204,4.999656686141841,True,True,0.1
6,4,optimized,,2.0,0.021151237456085,0.0187254835384948,0.9894020736710528,0.9906741944631692,0.1634098546732802,0.087134319613881,True,True,0.0015625
6,4,optimized,,3.0,0.018763360947879,0.0174886221732155,0.9906547204957906,0.9913309146711298,0.12412846809605,0.0722173829690745,True,True,0.0125
6,4,optimized,,4.0,0.0175295343127883,0.016719258465434,0.9913071538954046,0.991737132870358,0.0948743395289553,0.0571871487230826,True,True,0.00625
6,4,optimized,,5.0,0.0167497417313402,0.0161796349275561,0.9917241853041484,0.9920251472985724,0.0754727113950553,0.0493926994954577,True,True,0.025
6,4,optimized,,6.0,0.0162574807319545,0.0159934692517478,0.9919826553284816,0.9921115190941168,0.060135189711716,0.0431828637165403,True,True,0.0015625
6,4,optimized,,7.0,0.0160080729464043,0.0156925623632896,0.9921035545975074,0.9922887911251486,0.0645797457598441,0.0440680969652708,True,True,0.0015625
6,4,optimized,,8.0,0.0156328703446898,0.0154693332237639,0.9923200375901852,0.992417343688894,0.0502768313206288,0.0348858681018138,True,True,0.0015625
6,4,optimized,,9.0,0.0155204377791324,0.0153563628507081,0.9923877497923546,0.9924655219150846,0.0485239228082637,0.0320035145599654,True,True,0.003125
6,4,optimized,,10.0,0.0152764860026713,0.0153458525147462,0.9925103231505972,0.9924689428889434,0.045150086817397,0.0306369677938192,True,True,0.00625
6,4,optimized,,11.0,0.0153218395959448,0.0152698081169707,0.99248455859145,0.9925127149995768,0.0465014887523084,0.0293204360227747,True,True,0.0015625
6,4,optimized,,12.0,0.0152326437728748,0.015263980586719,0.9925306714067248,0.9925161445563592,0.0479359077391752,0.0307898334061993,True,True,0.0125
6,5,optimized,,0,0.02275461519009275,0.02113228297585411,0.9885757608347994,0.9893776398012402,0.18772111585701454,0.16153594952704037,True,True,0.1
6,5,optimized,,1,0.02111786832120096,0.01945446953721158,0.9893851215994052,0.9902254053207407,0.14002435094958138,0.09814754150961225,True,True,0.0125
6,5,optimized,,2,0.01935022536699185,0.01827993497036373,0.9902779977171761,0.9908191749962845,0.11205991124566732,0.07118427155487056,True,True,0.003125
6,5,optimized,,3,0.018370867320420457,0.01790558104612153,0.990773307519102,0.9910101845124879,0.08257798334914272,0.05319408909936754,True,True,0.003125
6,5,optimized,,4,0.017735343940321145,0.017657315006523674,0.9910950615638889,0.9911409149252529,0.06620506136086521,0.03293879187908994,True,True,0.0125
6,5,optimized,,5,0.017653532007675228,0.01755396789589284,0.991141519058187,0.9911971503348167,0.05940053496551901,0.03536489785112742,True,True,0.1
6,5,optimized,,6,0.017658463902511554,0.017345176204610697,0.9911432843113824,0.9913032126175605,0.0614282920632059,0.04017967955182634,True,True,0.003125
6,5,optimized,,7,0.017352299566127907,0.01744986985335792,0.9912991549329931,0.9912508047671755,0.04411867944350503,0.020815818170108972,True,True,0.1
6,5,optimized,,8,0.01746234570735297,0.017422450730046155,0.9912445103604004,0.9912659476684187,0.03864544364004725,0.020502494555369944,True,True,0.025
6,5,optimized,,9,0.017572263576501112,0.017439191820099082,0.9911914864545116,0.9912609457762993,0.04090236403786862,0.0199742055050995,True,True,0.003125
6,5,optimized,,10,0.017441057610299706,0.01736339859523781,0.9912594159402965,0.9912983680214797,0.04400550087658595,0.022066875084045208,True,True,0.0015625
6,6,optimized,,0,0.11885922836583883,0.1003991925457158,0.9407816163737053,0.9506718150250598,0.7453033028503194,0.45955650735963477,True,True,0.0015625
6,6,optimized,,1,0.10021320923680578,0.08561498704517154,0.9507388266445352,0.9584691749035206,0.7158555070425827,0.4685440820961842,True,True,0.1
6,6,optimized,,2,0.08553132126704678,0.07452619983107024,0.958511242228665,0.9642038064283691,0.6393371663589146,0.4141314707045434,True,True,0.00625
6,6,optimized,,3,0.07446335143425802,0.06564720260368309,0.9642626892631213,0.9687680147227309,0.5700182496085927,0.3583096127582494,True,True,0.0015625
6,6,optimized,,4,0.06578489628290729,0.058332209627693865,0.9686801456813019,0.9724009302999033,0.5122988363791187,0.31769023609251373,True,True,0.0125
