sample_index,label,prediction,correct,measured_output_power_0,measured_output_power_1,measured_output_power_2,measured_output_power_3,measured_output_power_4,measured_output_power_5,measured_output_power_6,measured_output_power_7,measured_output_power_sum
0,7,7,1,3.603308e-05,3.138008e-05,3.605846e-05,1.011871e-05,1.640569e-05,1.258092e-05,3.054934e-05,6.978564e-05,0.00024291192000000002
1,2,2,1,0.000105051,5.061666e-07,0.0001278508,2.311198e-05,1.222306e-06,1.033873e-05,8.709038e-06,4.311961e-06,0.0002811019816
2,1,1,1,1.958508e-07,0.0001245286,0.0001031788,2.583319e-05,1.247364e-06,8.937375e-06,8.234475e-06,4.208495e-06,0.0002763641498
3,0,0,1,0.0001332794,9.471702e-05,1.866607e-06,6.519416e-06,1.950746e-05,9.869608e-06,1.072492e-05,4.987955e-06,0.00028147238600000003
4,4,4,1,4.93436e-05,3.754935e-05,5.330061e-05,3.728548e-05,6.199471e-05,3.523995e-05,8.855644e-07,5.233484e-06,0.0002808327484
5,1,1,1,1.973472e-07,0.0001244617,0.00010421,2.594016e-05,1.24745e-06,8.602266e-06,7.251266e-06,4.481296e-06,0.0002763914852
6,4,4,1,4.737491e-05,3.909662e-05,5.496694e-05,3.815771e-05,5.977895e-05,3.621546e-05,9.075962e-07,4.775066e-06,0.0002812732522
7,5,5,1,4.785642e-05,3.542886e-05,3.522609e-05,6.746984e-06,5.862472e-07,8.26595e-05,6.154182e-05,1.273056e-06,0.0002713189772
8,0,0,1,0.0001344879,9.411774e-05,1.747147e-06,4.351591e-06,2.080127e-05,1.030683e-05,1.014287e-05,4.488933e-06,0.00028044428100000004
9,6,6,1,3.979018e-05,3.684326e-05,5.473026e-05,2.295168e-05,6.971411e-05,3.208413e-07,6.076791e-05,1.222649e-06,0.0002863408903
10,0,0,1,0.0001376512,9.816211e-05,1.784889e-06,3.403808e-06,1.885815e-05,9.142015e-06,7.794582e-06,4.332329e-06,0.00028112908299999996
11,1,1,1,1.939835e-07,0.0001239873,0.0001031395,2.573314e-05,1.247251e-06,9.215906e-06,1.020203e-05,3.227608e-06,0.00027694671850000003
12,5,5,1,4.252023e-05,3.864411e-05,2.360159e-05,4.410758e-06,5.402721e-07,9.1458e-05,6.36266e-05,1.285117e-06,0.0002660866771
13,7,7,1,3.607324e-05,3.163877e-05,3.064379e-05,9.014023e-06,1.66412e-05,1.240975e-05,3.080536e-05,7.086917e-05,0.000238095303
14,3,3,1,3.522975e-05,2.849788e-05,1.366161e-05,5.78551e-05,2.875375e-05,1.271069e-05,2.707331e-05,2.225147e-07,0.00020400460470000001
15,4,4,1,4.967275e-05,3.743083e-05,5.410243e-05,3.766167e-05,6.077076e-05,3.544286e-05,8.836823e-07,5.429902e-06,0.0002813948843
16,6,6,1,3.985381e-05,3.518045e-05,5.543985e-05,2.274539e-05,6.946902e-05,3.110111e-07,6.165935e-05,1.224621e-06,0.00028588350210000005
17,6,6,1,3.897476e-05,3.530559e-05,5.863406e-05,2.315373e-05,6.865734e-05,3.200188e-07,6.002671e-05,1.215589e-06,0.00028628779780000003
18,5,5,1,4.297209e-05,3.741291e-05,2.818617e-05,5.379157e-06,5.140126e-07,9.151538e-05,6.287115e-05,1.281297e-06,0.00027013216660000004
19,4,4,1,5.013192e-05,3.742765e-05,5.304403e-05,3.714992e-05,6.205133e-05,3.586668e-05,8.976265e-07,5.148344e-06,0.00028171750049999997
