local_sample_row,sample_index,label,active_input_channel,upload_voltage,component_output_power_sum,component_output_power_0,component_output_power_1,component_output_power_2,component_output_power_3,component_output_power_4,component_output_power_5,component_output_power_6,component_output_power_7
0,0,7,1,4.235,5.797292679999999e-06,5.774581e-07,8.426737e-07,2.921487e-06,4.481603e-08,6.577114e-08,7.043095e-07,2.595961e-08,6.148176e-07
0,0,7,2,4.133,8.56145197e-06,1.180896e-06,4.466687e-06,1.42604e-06,4.278001e-08,5.913545e-08,7.18571e-07,2.461981e-08,6.427227e-07
0,0,7,3,4.131,2.26382739e-06,4.840088e-07,1.17011e-07,5.977053e-08,7.934705e-08,1.362954e-07,7.186653e-07,3.662051e-08,6.321088e-07
0,0,7,4,4.035,1.6686826000000002e-05,1.116484e-07,3.376224e-06,1.776017e-06,6.389137e-06,3.229046e-06,6.123601e-07,7.448006e-07,4.475929e-07
0,0,7,5,3.837,1.14388693e-05,1.096035e-06,4.711921e-07,1.25521e-06,1.135171e-06,3.573503e-06,9.153217e-07,2.67732e-06,3.151165e-07
0,0,7,6,4.178,1.0052483399999999e-05,7.984343e-07,1.318101e-07,2.792918e-07,2.822278e-06,1.928488e-06,2.544098e-06,1.00939e-06,5.386932e-07
0,0,7,7,3.785,1.77087986e-05,8.56627e-07,1.53171e-07,4.490606e-07,3.025265e-06,6.92649e-07,3.881922e-06,7.560735e-06,1.089369e-06
0,0,7,8,3.9,2.8024971200000004e-06,8.018824e-07,1.477422e-07,3.751809e-07,4.934877e-08,9.426019e-08,6.844781e-07,2.465416e-08,6.249504e-07
1,1,2,1,4.006,5.4450538730000005e-05,2.137505e-05,5.84556e-06,2.559749e-05,2.578807e-08,1.941958e-07,7.372448e-07,4.066326e-08,6.345468e-07
1,1,2,2,4.261,2.80527797e-06,8.007174e-07,1.484761e-07,3.76622e-07,4.991446e-08,9.408413e-08,6.857998e-07,2.461888e-08,6.250452e-07
1,1,2,3,4.039,6.3287344499999995e-06,1.13729e-07,1.081756e-06,6.755635e-07,1.125842e-06,1.807281e-06,7.813395e-07,8.399265e-08,6.592308e-07
1,1,2,4,3.776,7.80070039e-05,4.656041e-07,1.488784e-05,1.280351e-05,3.061572e-05,1.426309e-05,4.327761e-07,4.217439e-06,3.210247e-07
1,1,2,5,3.977,2.78437615e-06,7.964032e-07,1.480173e-07,3.728086e-07,4.917454e-08,9.408434e-08,6.77748e-07,2.470977e-08,6.214304e-07
1,1,2,6,4.174,1.0507081400000001e-05,7.903019e-07,1.292548e-07,2.730697e-07,2.97039e-06,2.011477e-06,2.73588e-06,1.063749e-06,5.32959e-07
1,1,2,7,3.833,1.12759564e-05,8.382001e-07,1.514117e-07,4.312529e-07,1.952999e-06,3.961535e-07,1.912813e-06,4.713049e-06,8.800772e-07
1,1,2,8,4.137,8.65286031e-06,8.194297e-07,1.552742e-07,3.886077e-07,4.545421e-08,1.074829e-07,8.427259e-07,8.470437e-07,5.446842e-06
2,2,1,1,4.318,2.7839083200000003e-06,7.952021e-07,1.476202e-07,3.727763e-07,4.936258e-08,9.381126e-08,6.791804e-07,2.479298e-08,6.211625e-07
2,2,1,2,3.887,2.78206479e-06,7.954578e-07,1.47605e-07,3.726151e-07,4.904398e-08,9.376712e-08,6.775593e-07,2.478439e-08,6.212321e-07
