local_sample_row,sample_index,label,input_channel,switch_mzi,port,upload_voltage,mode
0,0,7,1,1,43,4.235,sequential-input-sum
0,0,7,2,2,45,4.133,sequential-input-sum
0,0,7,3,3,41,4.131,sequential-input-sum
0,0,7,4,4,48,4.035,sequential-input-sum
0,0,7,5,5,44,3.837,sequential-input-sum
0,0,7,6,6,46,4.178,sequential-input-sum
0,0,7,7,7,42,3.785,sequential-input-sum
0,0,7,8,8,49,3.9,sequential-input-sum
1,1,2,1,1,43,4.006,sequential-input-sum
1,1,2,2,2,45,4.261,sequential-input-sum
1,1,2,3,3,41,4.039,sequential-input-sum
1,1,2,4,4,48,3.776,sequential-input-sum
1,1,2,5,5,44,3.977,sequential-input-sum
1,1,2,6,6,46,4.174,sequential-input-sum
1,1,2,7,7,42,3.833,sequential-input-sum
1,1,2,8,8,49,4.137,sequential-input-sum
2,2,1,1,1,43,4.318,sequential-input-sum
2,2,1,2,2,45,3.887,sequential-input-sum
2,2,1,3,3,41,4.002,sequential-input-sum
2,2,1,4,4,48,3.804,sequential-input-sum
2,2,1,5,5,44,3.977,sequential-input-sum
2,2,1,6,6,46,4.18,sequential-input-sum
2,2,1,7,7,42,3.838,sequential-input-sum
2,2,1,8,8,49,4.136,sequential-input-sum
3,3,0,1,1,43,3.979,sequential-input-sum
3,3,0,2,2,45,3.858,sequential-input-sum
3,3,0,3,3,41,4.164,sequential-input-sum
3,3,0,4,4,48,4.172,sequential-input-sum
3,3,0,5,5,44,3.806,sequential-input-sum
3,3,0,6,6,46,4.171,sequential-input-sum
3,3,0,7,7,42,3.832,sequential-input-sum
3,3,0,8,8,49,4.14,sequential-input-sum
4,4,4,1,1,43,4.122,sequential-input-sum
4,4,4,2,2,45,4.054,sequential-input-sum
4,4,4,3,3,41,3.609,sequential-input-sum
4,4,4,4,4,48,4.23,sequential-input-sum
4,4,4,5,5,44,3.5,sequential-input-sum
4,4,4,6,6,46,3.932,sequential-input-sum
4,4,4,7,7,42,3.995,sequential-input-sum
4,4,4,8,8,49,4.081,sequential-input-sum
5,5,1,1,1,43,4.318,sequential-input-sum
5,5,1,2,2,45,3.885,sequential-input-sum
5,5,1,3,3,41,3.99,sequential-input-sum
5,5,1,4,4,48,3.804,sequential-input-sum
5,5,1,5,5,44,3.977,sequential-input-sum
5,5,1,6,6,46,4.181,sequential-input-sum
5,5,1,7,7,42,3.847,sequential-input-sum
5,5,1,8,8,49,4.133,sequential-input-sum
6,6,4,1,1,43,4.1,sequential-input-sum
6,6,4,2,2,45,4.021,sequential-input-sum
6,6,4,3,3,41,3.501,sequential-input-sum
6,6,4,4,4,48,4.23,sequential-input-sum
6,6,4,5,5,44,3.427,sequential-input-sum
6,6,4,6,6,46,3.864,sequential-input-sum
6,6,4,7,7,42,3.995,sequential-input-sum
6,6,4,8,8,49,4.059,sequential-input-sum
7,7,5,1,1,43,4.163,sequential-input-sum
7,7,5,2,2,45,4.1,sequential-input-sum
7,7,5,3,3,41,4.041,sequential-input-sum
7,7,5,4,4,48,4.085,sequential-input-sum
7,7,5,5,5,44,3.977,sequential-input-sum
7,7,5,6,6,46,3.988,sequential-input-sum
7,7,5,7,7,42,3.605,sequential-input-sum
7,7,5,8,8,49,4.294,sequential-input-sum
8,8,0,1,1,43,3.977,sequential-input-sum
8,8,0,2,2,45,3.859,sequential-input-sum
8,8,0,3,3,41,4.164,sequential-input-sum
8,8,0,4,4,48,4.182,sequential-input-sum
8,8,0,5,5,44,3.799,sequential-input-sum
8,8,0,6,6,46,4.169,sequential-input-sum
8,8,0,7,7,42,3.835,sequential-input-sum
8,8,0,8,8,49,4.146,sequential-input-sum
9,9,6,1,1,43,4.192,sequential-input-sum
9,9,6,2,2,45,4.105,sequential-input-sum
9,9,6,3,3,41,4.144,sequential-input-sum
9,9,6,4,4,48,3.932,sequential-input-sum
9,9,6,5,5,44,3.635,sequential-input-sum
9,9,6,6,6,46,4.329,sequential-input-sum
9,9,6,7,7,42,3.666,sequential-input-sum
9,9,6,8,8,49,4.294,sequential-input-sum
10,10,0,1,1,43,3.974,sequential-input-sum
10,10,0,2,2,45,3.848,sequential-input-sum
10,10,0,3,3,41,4.164,sequential-input-sum
10,10,0,4,4,48,4.185,sequential-input-sum
10,10,0,5,5,44,3.807,sequential-input-sum
10,10,0,6,6,46,4.175,sequential-input-sum
10,10,0,7,7,42,3.847,sequential-input-sum
10,10,0,8,8,49,4.148,sequential-input-sum
11,11,1,1,1,43,4.318,sequential-input-sum
11,11,1,2,2,45,3.887,sequential-input-sum
11,11,1,3,3,41,4.006,sequential-input-sum
11,11,1,4,4,48,3.803,sequential-input-sum
11,11,1,5,5,44,3.977,sequential-input-sum
11,11,1,6,6,46,4.179,sequential-input-sum
11,11,1,7,7,42,3.827,sequential-input-sum
11,11,1,8,8,49,4.147,sequential-input-sum
12,12,5,1,1,43,4.216,sequential-input-sum
12,12,5,2,2,45,4.049,sequential-input-sum
12,12,5,3,3,41,4.084,sequential-input-sum
12,12,5,4,4,48,4.072,sequential-input-sum
12,12,5,5,5,44,3.977,sequential-input-sum
12,12,5,6,6,46,3.987,sequential-input-sum
12,12,5,7,7,42,3.619,sequential-input-sum
12,12,5,8,8,49,4.294,sequential-input-sum
13,13,7,1,1,43,4.252,sequential-input-sum
13,13,7,2,2,45,4.165,sequential-input-sum
13,13,7,3,3,41,4.132,sequential-input-sum
13,13,7,4,4,48,4.041,sequential-input-sum
13,13,7,5,5,44,3.821,sequential-input-sum
13,13,7,6,6,46,4.179,sequential-input-sum
13,13,7,7,7,42,3.785,sequential-input-sum
13,13,7,8,8,49,3.897,sequential-input-sum
14,14,3,1,1,43,4.219,sequential-input-sum
14,14,3,2,2,45,4.035,sequential-input-sum
14,14,3,3,3,41,4.164,sequential-input-sum
14,14,3,4,4,48,3.816,sequential-input-sum
14,14,3,5,5,44,3.837,sequential-input-sum
14,14,3,6,6,46,3.912,sequential-input-sum
14,14,3,7,7,42,3.917,sequential-input-sum
14,14,3,8,8,49,4.201,sequential-input-sum
15,15,4,1,1,43,4.124,sequential-input-sum
15,15,4,2,2,45,4.058,sequential-input-sum
15,15,4,3,3,41,3.614,sequential-input-sum
15,15,4,4,4,48,4.23,sequential-input-sum
15,15,4,5,5,44,3.513,sequential-input-sum
15,15,4,6,6,46,3.938,sequential-input-sum
15,15,4,7,7,42,3.995,sequential-input-sum
15,15,4,8,8,49,4.081,sequential-input-sum
16,16,6,1,1,43,4.166,sequential-input-sum
16,16,6,2,2,45,4.106,sequential-input-sum
16,16,6,3,3,41,4.141,sequential-input-sum
16,16,6,4,4,48,3.94,sequential-input-sum
16,16,6,5,5,44,3.639,sequential-input-sum
16,16,6,6,6,46,4.329,sequential-input-sum
16,16,6,7,7,42,3.66,sequential-input-sum
