local_sample_row,sample_index,label,source_voltage_file,source_voltage_row,input_voltage_0,input_voltage_1,input_voltage_2,input_voltage_3,input_voltage_4,input_voltage_5,input_voltage_6,input_voltage_7
0,0,7,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,0,4.235,4.133,4.131,4.035,3.837,4.178,3.785,3.9
1,1,2,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,1,4.006,4.261,4.039,3.776,3.977,4.174,3.833,4.137
2,2,1,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,2,4.318,3.887,4.002,3.804,3.977,4.18,3.838,4.136
3,3,0,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,3,3.979,3.858,4.164,4.172,3.806,4.171,3.832,4.14
4,4,4,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,4,4.122,4.054,3.609,4.23,3.5,3.932,3.995,4.081
5,5,1,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,5,4.318,3.885,3.99,3.804,3.977,4.181,3.847,4.133
6,6,4,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,6,4.1,4.021,3.501,4.23,3.427,3.864,3.995,4.059
7,7,5,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,7,4.163,4.1,4.041,4.085,3.977,3.988,3.605,4.294
8,8,0,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,8,3.977,3.859,4.164,4.182,3.799,4.169,3.835,4.146
9,9,6,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,9,4.192,4.105,4.144,3.932,3.635,4.329,3.666,4.294
10,10,0,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,10,3.974,3.848,4.164,4.185,3.807,4.175,3.847,4.148
11,11,1,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,11,4.318,3.887,4.006,3.803,3.977,4.179,3.827,4.147
12,12,5,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,12,4.216,4.049,4.084,4.072,3.977,3.987,3.619,4.294
13,13,7,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,13,4.252,4.165,4.132,4.041,3.821,4.179,3.785,3.897
14,14,3,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,14,4.219,4.035,4.164,3.816,3.837,3.912,3.917,4.201
15,15,4,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,15,4.124,4.058,3.614,4.23,3.513,3.938,3.995,4.081
16,16,6,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,16,4.166,4.106,4.141,3.94,3.639,4.329,3.66,4.294
17,17,6,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,17,4.195,4.1,4.14,3.927,3.637,4.329,3.668,4.294
18,18,5,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,18,4.22,4.071,4.073,4.069,3.977,3.986,3.621,4.294
19,19,4,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,19,4.126,4.057,3.628,4.23,3.515,3.941,3.995,4.087
20,20,0,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,20,3.976,3.858,4.164,4.185,3.788,4.18,3.837,4.148
21,21,7,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,21,4.228,4.121,4.141,4.038,3.841,4.178,3.784,3.899
22,22,4,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,22,4.118,4.053,3.605,4.23,3.503,3.929,3.995,4.082
23,23,0,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,23,3.947,3.845,4.164,4.2,3.779,4.171,3.838,4.146
24,24,1,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,24,4.318,3.871,3.96,3.785,3.977,4.168,3.84,4.122
25,25,3,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,25,4.23,4.073,4.164,3.796,3.715,3.977,3.995,4.112
26,26,1,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,26,4.318,3.885,3.982,3.809,3.977,4.179,3.839,4.138
27,27,3,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,27,4.209,4.076,4.164,3.76,3.715,3.945,3.995,4.119
28,28,4,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,28,4.1,4.039,3.611,4.23,3.561,4.008,3.988,4.175
29,29,7,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,29,4.228,4.122,4.131,4.03,3.843,4.176,3.783,3.905
30,30,2,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,30,4.002,4.261,4.039,3.774,3.977,4.177,3.841,4.136
31,31,7,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,31,4.23,4.142,4.136,4.029,3.837,4.179,3.789,3.899
32,32,1,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,32,4.318,3.885,3.992,3.805,3.977,4.182,3.837,4.14
33,33,2,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,33,4.01,4.261,4.062,3.769,3.977,4.177,3.831,4.128
34,34,1,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,34,4.318,3.885,3.98,3.803,3.977,4.183,3.844,4.14
35,35,1,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,35,4.318,3.845,3.79,3.912,3.976,4.209,3.88,4.189
36,36,7,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,36,4.239,4.133,4.113,4.03,3.845,4.175,3.789,3.901
37,37,4,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,37,4.099,4.04,3.513,4.23,3.425,3.873,3.995,4.042
38,38,2,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,38,3.998,4.261,4.064,3.743,3.977,4.19,3.831,4.125
39,39,3,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,39,4.225,4.088,4.164,3.801,3.726,3.978,3.995,4.146
40,40,5,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,40,4.218,4.06,4.066,4.071,3.977,3.991,3.618,4.294
41,41,1,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,41,4.318,3.883,3.984,3.806,3.977,4.178,3.839,4.146
42,42,2,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,42,4.002,4.261,4.036,3.779,3.977,4.176,3.834,4.134
43,43,4,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,43,4.143,4.077,3.665,4.23,3.548,3.964,3.995,4.099
44,44,4,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,44,4.142,4.065,3.656,4.23,3.551,3.971,3.995,4.1
45,45,6,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,45,4.191,4.098,4.144,3.933,3.638,4.329,3.663,4.294
46,46,3,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,46,4.226,4.074,4.164,3.808,3.72,3.983,3.995,4.134
47,47,5,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,47,4.219,4.06,4.067,4.072,3.977,3.99,3.619,4.294
