sample_index,label,prediction,correct,measured_output_power_0,measured_output_power_1,measured_output_power_2,measured_output_power_3,measured_output_power_4,measured_output_power_5,measured_output_power_6,measured_output_power_7,measured_output_power_sum
0,7,7,1,5.9069900000000005e-06,9.7065111e-06,8.542057830000002e-06,1.358814286e-05,9.779148179999999e-06,1.0779725699999999e-05,1.210409969e-05,4.9053710999999994e-06,7.531204646e-05
1,2,2,1,2.5999435400000003e-05,2.25475901e-05,4.09189244e-05,3.6835282279999995e-05,1.896784867e-05,8.806327100000001e-06,1.1015265259999999e-05,9.721156099999999e-06,0.00017481182931
2,1,1,1,5.349689499999999e-06,1.6186434e-05,1.4945302500000001e-05,3.231356378e-05,1.8219793419999998e-05,7.2379793e-06,5.782401489999999e-06,9.53668e-06,0.00010957184399
3,0,0,1,5.06618783e-05,4.8246049199999996e-05,4.387637064e-05,7.87871912e-06,8.66819048e-06,9.5065948e-06,1.096461016e-05,9.3542577e-06,0.0001891566704
4,4,4,1,2.4493069300000004e-05,3.775088687e-05,4.55622277e-05,4.997948894e-05,6.962596942000002e-05,3.41188358e-05,3.882470462000001e-05,1.50029722e-05,0.00031535815485
5,1,1,1,2.2066851799999996e-05,5.17091774e-05,2.5100792399999996e-05,3.4351271709999996e-05,1.8982498689999996e-05,8.0600084e-06,9.74872427e-06,1.00909814e-05,0.00018011030607
6,4,4,1,3.2099261299999994e-05,4.880473864e-05,5.7830437399999995e-05,6.415162827e-05,8.806893537000001e-05,4.41771679e-05,4.905017089e-05,1.78318269e-05,0.00040201416667000003
7,5,5,1,9.81751e-06,1.2528872770000001e-05,1.2724229600000002e-05,2.6154667560000002e-05,1.4653813960000001e-05,3.8671996900000005e-05,2.7847833710000003e-05,6.2765974e-06,0.00014867552190000002
8,0,0,1,5.09239924e-05,4.808189759999999e-05,4.419095506e-05,7.90670639e-06,8.9801278e-06,9.564556699999999e-06,1.111688791e-05,8.8340253e-06,0.00018959914915999998
9,6,6,1,7.736047869999999e-06,1.6401212300000006e-05,1.2370125900000002e-05,2.8797474860000004e-05,2.61730975e-05,1.72983079e-05,3.525573386e-05,5.35998057e-06,0.00014939198076000003
10,0,0,1,5.2513676200000016e-05,4.99893438e-05,4.507505745999999e-05,7.201414450000001e-06,8.31139638e-06,8.805113199999999e-06,9.961790231e-06,8.6474304e-06,0.000190505222121
11,1,1,1,2.1841476e-05,5.105698719999999e-05,2.4630627399999998e-05,3.455195897e-05,1.8530998300000002e-05,8.748114499999998e-06,1.070312715e-05,8.944357699999999e-06,0.00017900764722
12,5,5,1,1.0131132300000001e-05,1.6133396469999998e-05,1.0273110099999999e-05,2.535003792e-05,1.315306137e-05,3.73955543e-05,2.651819352e-05,6.111590700000001e-06,0.00014506607667999998
13,7,7,1,5.0324027999999994e-06,7.3505008000000005e-06,7.243429089999999e-06,1.3485701419999999e-05,1.028676425e-05,1.12950284e-05,1.635377835e-05,4.59075429e-05,0.00011695514801
14,3,3,1,1.11996761e-05,2.8527516209999998e-05,2.09482735e-05,4.6568676750000005e-05,2.784017439e-05,3.2568767e-05,1.5491492290000002e-05,4.703443e-06,0.00018784801924
15,4,4,1,2.3845245400000003e-05,3.687700965999999e-05,4.4599458800000003e-05,4.854722175e-05,6.753668028e-05,3.30404837e-05,3.727949276e-05,1.495859734e-05,0.00030668418969000003
16,6,6,1,1.0609248159999999e-05,1.7757981299999998e-05,1.90995212e-05,2.8069414e-05,2.5517913260000003e-05,1.76808565e-05,3.5219399180000005e-05,5.4007388200000004e-06,0.00015935507242
17,6,6,1,9.15673012e-06,1.83344901e-05,1.75725395e-05,2.904191798e-05,2.6123565459999998e-05,1.70912725e-05,3.491794072e-05,5.327390050000001e-06,0.00015756584642999998
18,5,5,1,8.1862652e-06,1.421762876e-05,9.2677274e-06,2.60352743e-05,1.4075442440000001e-05,3.74225782e-05,2.643947464e-05,6.1044976e-06,0.00014174888854
19,4,4,1,2.3354381000000003e-05,3.604801669e-05,4.343984410000001e-05,4.753003464999999e-05,6.619462778e-05,3.25337881e-05,3.684765091e-05,1.4202139099999999e-05,0.00030015048233
20,0,0,1,5.12064637e-05,4.83285576e-05,4.443957361e-05,7.65718714e-06,9.25786762e-06,8.963516e-06,1.1410951184e-05,8.652307499999999e-06,0.000189916424354
21,7,7,1,6.5979012e-06,1.0484388799999999e-05,9.104200399999998e-06,1.3295142090000003e-05,9.41700714e-06,1.13193628e-05,1.554859707e-05,4.55132751e-05,0.0001212798746
