mzi,port,voltage,expected_mA,actual_mA,lower_mA,upper_mA,local_sample_row,sample_index,label,active_input_channel
1,43,3.979,7.812263523491296,,7.031037171142167,8.593489875840426,3,3,0,1
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,3,3,0,1
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,3,3,0,1
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,3,3,0,1
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,3,3,0,1
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,3,3,0,1
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,3,3,0,1
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,3,3,0,1
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,3,3,0,8
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,3,3,0,8
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,3,3,0,8
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,3,3,0,8
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,3,3,0,8
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,3,3,0,8
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,3,3,0,8
8,49,4.14,8.044387150517677,,7.239948435465909,8.848825865569445,3,3,0,8
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,8,8,0,2
2,45,3.859,7.576658692423451,,6.818992823181106,8.334324561665797,8,8,0,2
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,8,8,0,2
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,8,8,0,2
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,8,8,0,2
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,8,8,0,2
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,8,8,0,2
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,8,8,0,2
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,9,9,6,6
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,9,9,6,6
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,9,9,6,6
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,9,9,6,6
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,9,9,6,6
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,9,9,6,6
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,9,9,6,6
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,9,9,6,6
5,44,3.977,7.688507837493675,6.865449089416167,6.919657053744308,8.457358621243042,25,25,3,6
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,31,31,7,3
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,31,31,7,3
3,41,4.136,8.039219104811146,,7.235297194330031,8.843141015292261,31,31,7,3
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,31,31,7,3
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,31,31,7,3
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,31,31,7,3
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,31,31,7,3
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,31,31,7,3
2,45,4.261,8.36593487650073,7.268047534230565,7.529341388850658,9.202528364150805,32,32,1,3
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,35,35,1,5
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,35,35,1,5
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,35,35,1,5
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,35,35,1,5
5,44,3.976,7.6865745943864345,,6.917917134947791,8.455232053825078,35,35,1,5
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,35,35,1,5
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,35,35,1,5
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,35,35,1,5
3,41,4.164,8.093643218673503,6.53813328062398,7.2842788968061525,8.903007540540854,37,37,4,4
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,42,42,2,8
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,42,42,2,8
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,42,42,2,8
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,42,42,2,8
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,42,42,2,8
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,42,42,2,8
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,42,42,2,8
8,49,4.134,8.03272861841548,,7.229455756573931,8.836001480257027,42,42,2,8
6,46,4.329,8.428640695949365,7.385881225395744,7.585776626354429,9.271504765544302,47,47,5,7
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,61,61,0,2
2,45,3.853,7.564878450870059,,6.808390605783053,8.321366295957064,61,61,0,2
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,61,61,0,2
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,61,61,0,2
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,61,61,0,2
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,61,61,0,2
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,61,61,0,2
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,61,61,0,2
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,66,66,7,6
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,66,66,7,6
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,66,66,7,6
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,66,66,7,6
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,66,66,7,6
6,46,4.182,8.142429057625376,,7.328186151862838,8.956671963387913,66,66,7,6
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,66,66,7,6
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,66,66,7,6
1,43,4.25,8.344337766986179,,7.509903990287561,9.178771543684796,70,70,7,1
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,70,70,7,1
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,70,70,7,1
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,70,70,7,1
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,70,70,7,1
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,70,70,7,1
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,70,70,7,1
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,70,70,7,1
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,70,70,7,8
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,70,70,7,8
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,70,70,7,8
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,70,70,7,8
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,70,70,7,8
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,70,70,7,8
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,70,70,7,8
8,49,3.898,7.574159689062297,,6.816743720156067,8.331575657968527,70,70,7,8
1,43,4.204,8.254022581743506,,7.428620323569155,9.079424839917856,71,71,6,1
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,71,71,6,1
