global_target_layer,current_layer,layer_status,skip_reason,layer_iter,loss_before_iter,loss_after_iter,grad_norm,max_abs_grad,accepted,rejected,lr_used
3,1,skipped,first_or_last_layer_bar_fixed,,,,,,,,
3,2,optimized,,0,0.008623548781230506,0.008081700800606505,2.871107553908701,2.099880779891665,True,True,0.02
3,2,optimized,,1,0.036952004710706456,0.008097556736345341,2.1562152052885395,1.3666055381257145,True,True,0.01
3,3,optimized,,0,0.05411337344012941,0.050455318306259864,1.7144224061428661,0.92514207478637,True,True,0.01
3,3,optimized,,1,0.05059196004250842,0.048724323100191626,1.617817170637737,1.3662566206574267,True,True,0.01
3,3,optimized,,2,0.048684944636495885,0.3473560443537328,3.726025778379833,3.0148496523666197,True,True,0.02
3,3,optimized,,3,0.04462559759176209,0.03800723296323694,2.5455743795352426,1.779906341529224,True,True,0.01
3,3,optimized,,4,0.03797029804873262,0.037807115145954195,2.1076027698300837,1.457791468584625,True,True,0.01
3,3,optimized,,5,0.037761662322622375,0.13847351741986705,0.34679223100989215,0.2829717294389932,True,True,0.01
3,3,optimized,,6,0.03597311930216476,0.03672833370799809,1.3072704124677523,1.0234019429639147,True,True,0.01
3,3,optimized,,7,0.09695264009780563,0.03287703986951375,1.7215267942574595,1.3490126310780144,True,True,0.01
3,3,optimized,,8,0.035730371832382125,0.030186227716125873,2.1540755302536274,1.6851059267188553,True,True,0.01
3,3,optimized,,9,0.0302900152647896,0.16589497651490115,1.1203901614357301,0.8856402353298235,True,True,0.01
