mzi,port,voltage,expected_mA,actual_mA,lower_mA,upper_mA,local_sample_row,sample_index,label,active_input_channel
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,5,5,1,4
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,5,5,1,4
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,5,5,1,4
4,48,3.908,7.672795754351814,,6.905516178916632,8.440075329786994,5,5,1,4
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,5,5,1,4
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,5,5,1,4
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,5,5,1,4
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,5,5,1,4
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,5,5,1,5
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,5,5,1,5
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,5,5,1,5
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,5,5,1,5
5,44,3.976,7.6865745943864345,,6.917917134947791,8.455232053825078,5,5,1,5
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,5,5,1,5
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,5,5,1,5
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,5,5,1,5
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,15,15,4,3
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,15,15,4,3
3,41,3.773,7.33364934295272,,6.600284408657448,8.067014277247992,15,15,4,3
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,15,15,4,3
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,15,15,4,3
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,15,15,4,3
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,15,15,4,3
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,15,15,4,3
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,17,17,6,4
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,17,17,6,4
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,17,17,6,4
4,48,3.949,7.753293355664103,,6.9779640200976925,8.528622691230513,17,17,6,4
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,17,17,6,4
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,17,17,6,4
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,17,17,6,4
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,17,17,6,4
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,18,18,5,7
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,18,18,5,7
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,18,18,5,7
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,18,18,5,7
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,18,18,5,7
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,18,18,5,7
7,42,3.676,7.2053629683986085,,6.484826671558747,7.92589926523847,18,18,5,7
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,18,18,5,7
