local_sample_row,sample_index,label,input_channel,switch_mzi,port,upload_voltage,mode
0,0,7,1,1,43,4.13,sequential-input-sum
0,0,7,2,2,45,4.028,sequential-input-sum
0,0,7,3,3,41,4.004,sequential-input-sum
0,0,7,4,4,48,4.04,sequential-input-sum
0,0,7,5,5,44,3.817,sequential-input-sum
0,0,7,6,6,46,4.184,sequential-input-sum
0,0,7,7,7,42,3.795,sequential-input-sum
0,0,7,8,8,49,3.936,sequential-input-sum
1,1,2,1,1,43,3.967,sequential-input-sum
1,1,2,2,2,45,4.261,sequential-input-sum
1,1,2,3,3,41,3.791,sequential-input-sum
1,1,2,4,4,48,3.885,sequential-input-sum
1,1,2,5,5,44,3.975,sequential-input-sum
1,1,2,6,6,46,4.198,sequential-input-sum
1,1,2,7,7,42,3.879,sequential-input-sum
1,1,2,8,8,49,4.188,sequential-input-sum
2,2,1,1,1,43,4.318,sequential-input-sum
2,2,1,2,2,45,3.846,sequential-input-sum
2,2,1,3,3,41,3.79,sequential-input-sum
2,2,1,4,4,48,3.909,sequential-input-sum
2,2,1,5,5,44,3.976,sequential-input-sum
2,2,1,6,6,46,4.209,sequential-input-sum
2,2,1,7,7,42,3.883,sequential-input-sum
2,2,1,8,8,49,4.187,sequential-input-sum
3,3,0,1,1,43,3.934,sequential-input-sum
3,3,0,2,2,45,3.853,sequential-input-sum
3,3,0,3,3,41,4.163,sequential-input-sum
3,3,0,4,4,48,4.147,sequential-input-sum
3,3,0,5,5,44,3.814,sequential-input-sum
3,3,0,6,6,46,4.195,sequential-input-sum
3,3,0,7,7,42,3.872,sequential-input-sum
3,3,0,8,8,49,4.182,sequential-input-sum
4,4,4,1,1,43,4.083,sequential-input-sum
4,4,4,2,2,45,3.994,sequential-input-sum
4,4,4,3,3,41,3.775,sequential-input-sum
4,4,4,4,4,48,4.23,sequential-input-sum
4,4,4,5,5,44,3.663,sequential-input-sum
4,4,4,6,6,46,4.085,sequential-input-sum
4,4,4,7,7,42,3.995,sequential-input-sum
4,4,4,8,8,49,4.187,sequential-input-sum
5,5,1,1,1,43,4.318,sequential-input-sum
5,5,1,2,2,45,3.846,sequential-input-sum
5,5,1,3,3,41,3.789,sequential-input-sum
5,5,1,4,4,48,3.908,sequential-input-sum
5,5,1,5,5,44,3.976,sequential-input-sum
5,5,1,6,6,46,4.211,sequential-input-sum
5,5,1,7,7,42,3.887,sequential-input-sum
5,5,1,8,8,49,4.186,sequential-input-sum
6,6,4,1,1,43,4.087,sequential-input-sum
6,6,4,2,2,45,3.992,sequential-input-sum
6,6,4,3,3,41,3.77,sequential-input-sum
6,6,4,4,4,48,4.23,sequential-input-sum
6,6,4,5,5,44,3.668,sequential-input-sum
6,6,4,6,6,46,4.083,sequential-input-sum
6,6,4,7,7,42,3.995,sequential-input-sum
6,6,4,8,8,49,4.191,sequential-input-sum
7,7,5,1,1,43,4.084,sequential-input-sum
7,7,5,2,2,45,3.993,sequential-input-sum
7,7,5,3,3,41,3.937,sequential-input-sum
7,7,5,4,4,48,4.066,sequential-input-sum
7,7,5,5,5,44,3.976,sequential-input-sum
7,7,5,6,6,46,3.996,sequential-input-sum
7,7,5,7,7,42,3.679,sequential-input-sum
7,7,5,8,8,49,4.294,sequential-input-sum
8,8,0,1,1,43,3.933,sequential-input-sum
8,8,0,2,2,45,3.853,sequential-input-sum
8,8,0,3,3,41,4.164,sequential-input-sum
8,8,0,4,4,48,4.166,sequential-input-sum
8,8,0,5,5,44,3.807,sequential-input-sum
8,8,0,6,6,46,4.193,sequential-input-sum
8,8,0,7,7,42,3.874,sequential-input-sum
8,8,0,8,8,49,4.186,sequential-input-sum
9,9,6,1,1,43,4.097,sequential-input-sum
9,9,6,2,2,45,3.993,sequential-input-sum
9,9,6,3,3,41,3.975,sequential-input-sum
9,9,6,4,4,48,3.95,sequential-input-sum
9,9,6,5,5,44,3.648,sequential-input-sum
9,9,6,6,6,46,4.329,sequential-input-sum
9,9,6,7,7,42,3.702,sequential-input-sum
9,9,6,8,8,49,4.294,sequential-input-sum
10,10,0,1,1,43,3.928,sequential-input-sum
10,10,0,2,2,45,3.846,sequential-input-sum
10,10,0,3,3,41,4.164,sequential-input-sum
10,10,0,4,4,48,4.175,sequential-input-sum
10,10,0,5,5,44,3.817,sequential-input-sum
10,10,0,6,6,46,4.198,sequential-input-sum
10,10,0,7,7,42,3.884,sequential-input-sum
10,10,0,8,8,49,4.188,sequential-input-sum
11,11,1,1,1,43,4.318,sequential-input-sum
11,11,1,2,2,45,3.847,sequential-input-sum
11,11,1,3,3,41,3.791,sequential-input-sum
11,11,1,4,4,48,3.908,sequential-input-sum
11,11,1,5,5,44,3.976,sequential-input-sum
11,11,1,6,6,46,4.206,sequential-input-sum
11,11,1,7,7,42,3.875,sequential-input-sum
11,11,1,8,8,49,4.194,sequential-input-sum
12,12,5,1,1,43,4.095,sequential-input-sum
12,12,5,2,2,45,3.985,sequential-input-sum
12,12,5,3,3,41,4.021,sequential-input-sum
12,12,5,4,4,48,4.083,sequential-input-sum
12,12,5,5,5,44,3.977,sequential-input-sum
12,12,5,6,6,46,3.979,sequential-input-sum
12,12,5,7,7,42,3.674,sequential-input-sum
12,12,5,8,8,49,4.294,sequential-input-sum
13,13,7,1,1,43,4.131,sequential-input-sum
13,13,7,2,2,45,4.011,sequential-input-sum
13,13,7,3,3,41,4.02,sequential-input-sum
13,13,7,4,4,48,4.047,sequential-input-sum
13,13,7,5,5,44,3.817,sequential-input-sum
13,13,7,6,6,46,4.185,sequential-input-sum
13,13,7,7,7,42,3.794,sequential-input-sum
13,13,7,8,8,49,3.933,sequential-input-sum
14,14,3,1,1,43,4.15,sequential-input-sum
