sample_index,label,prediction,correct,measured_output_power_0,measured_output_power_1,measured_output_power_2,measured_output_power_3,measured_output_power_4,measured_output_power_5,measured_output_power_6,measured_output_power_7,measured_output_power_sum
0,7,7,1,1.6386464e-05,2.3200264100000002e-05,2.05473514e-05,1.5027161409999999e-05,1.312926844e-05,1.06693098e-05,1.53711775e-05,3.83577954e-05,0.00015268879205000002
1,2,2,1,3.4568706899999994e-05,2.70721012e-05,5.13141024e-05,3.156268350000001e-05,2.609125022e-05,6.636038e-06,6.52691446e-06,5.9648119e-06,0.00018973660858
2,1,1,1,2.84007243e-05,6.105208200000001e-05,3.1443061800000003e-05,2.918842354e-05,2.4844189539999996e-05,6.154393200000001e-06,5.88800848e-06,6.091518199999999e-06,0.00019306240106
3,0,0,1,5.8514741300000004e-05,5.05702583e-05,5.0447476289999994e-05,6.69894694e-06,7.81418768e-06,7.107008999999999e-06,7.99287025e-06,6.152038800000001e-06,0.00019529752856
4,4,4,1,2.74297519e-05,3.5434033899999995e-05,3.7876051900000005e-05,2.415569578e-05,3.590048776e-05,1.5258885e-05,1.763867118e-05,5.596147e-06,0.00019928972442000002
5,1,1,1,2.84109664e-05,6.11094255e-05,3.15873916e-05,2.9256485889999997e-05,2.4915375279999995e-05,6.0278667e-06,5.746753559999999e-06,6.133897200000001e-06,0.00019318816213
6,4,4,1,2.72413027e-05,3.587190380000001e-05,3.77858149e-05,2.428250289e-05,3.599177238e-05,1.54016563e-05,1.724157537e-05,5.39185376e-06,0.0001992083821
7,5,5,1,1.59689094e-05,1.064548721e-05,2.21583232e-05,2.6746689550000003e-05,1.813904617e-05,3.188541340000001e-05,2.1211856170000003e-05,5.6809565e-06,0.0001524366816
8,0,0,1,5.846317139999999e-05,4.998530600000001e-05,4.965995225000001e-05,9.0853101e-06,6.399219040000001e-06,7.3936667e-06,9.71674328e-06,5.9017059999999995e-06,0.00019660507477
9,6,6,1,2.25118696e-05,3.37066529e-05,3.0809345199999996e-05,2.80988507e-05,2.789408369e-05,1.47717695e-05,3.0834673709999995e-05,5.164806870000001e-06,0.00019379205216999999
10,0,0,1,6.00665555e-05,5.14134591e-05,5.079661888e-05,7.789321009999999e-06,5.968863220000001e-06,6.905649900000001e-06,8.430445650000002e-06,5.804406399999999e-06,0.00019717531966
11,1,1,1,2.82763748e-05,6.0872049700000005e-05,3.1440054800000004e-05,2.9470965640000003e-05,2.4961294520000002e-05,6.4163143000000005e-06,6.22496282e-06,5.753503e-06,0.00019341551958000001
12,5,5,1,2.24115025e-05,2.746754738e-05,2.3335990300000002e-05,2.50278833e-05,1.4898184880000002e-05,3.41188653e-05,2.194872365e-05,5.746080400000001e-06,0.00017495477771
13,7,7,1,1.7352375399999998e-05,2.47255337e-05,2.0486181199999995e-05,1.4248794359999999e-05,1.236873262e-05,1.0647321700000001e-05,1.541705616e-05,3.88928069e-05,0.00015413880204000001
14,3,3,1,1.9795943499999997e-05,3.7314993919999996e-05,2.720905e-05,3.885367023e-05,2.53773022e-05,2.5415388899999996e-05,1.3530210310000002e-05,3.4870567699999997e-06,0.00019098361583
15,4,4,1,2.7438305799999998e-05,3.53808172e-05,3.794976900000001e-05,2.415165802e-05,3.58434181e-05,1.52643752e-05,1.740013701e-05,5.66290365e-06,0.00019909138398
16,6,6,1,2.2369383460000002e-05,3.3545278000000005e-05,3.1034248100000005e-05,2.8245358310000002e-05,2.826310736e-05,1.4966278199999999e-05,3.09382986e-05,5.19335066e-06,0.00019455530269000003
17,6,6,1,2.3122019599999998e-05,2.81151588e-05,2.78501902e-05,1.63744303e-05,2.3636789070000002e-05,1.47520374e-05,2.888767185e-05,5.404953990000001e-06,0.00016814325121
18,5,5,1,2.23363841e-05,2.7631876749999993e-05,2.3881287400000002e-05,2.548342039e-05,1.566876785e-05,3.4047013700000005e-05,2.180991298e-05,5.739937200000001e-06,0.00017659860037
19,4,4,1,2.51258363e-05,2.49019789e-05,2.60110843e-05,1.412758821e-05,1.986845818e-05,1.50474378e-05,1.746502396e-05,5.49719922e-06,0.00014804460687
