iter,loss,accepted_loss,lr,grad_norm,max_abs_grad,active_heater_labels,active_heater_ports,accepted,rejected
0,0.5730534793970977,0.37621979546385853,0.0015625,9.168287791781626,7.125343186946059,MZI5_arm0;MZI5_arm1;MZI6_arm0;MZI6_arm1;MZI7_arm0;MZI7_arm1;MZI8_arm0;MZI8_arm1,11;7;12;8;13;9;14;10,True,True
1,0.4494896473697131,0.2278264086036655,0.0015625,2.3821287418380255,1.8610334671635307,MZI5_arm0;MZI5_arm1;MZI6_arm0;MZI6_arm1;MZI7_arm0;MZI7_arm1;MZI8_arm0;MZI8_arm1,11;7;12;8;13;9;14;10,True,True
2,0.22643780335704874,0.1630639523037909,0.05,1.639901963195666,1.3341541834558777,MZI5_arm0;MZI5_arm1;MZI6_arm0;MZI6_arm1;MZI7_arm0;MZI7_arm1;MZI8_arm0;MZI8_arm1,11;7;12;8;13;9;14;10,True,True
3,0.16291080149822498,0.08247011597646207,0.0125,8.07075517780996,7.8864244602352205,MZI5_arm0;MZI5_arm1;MZI6_arm0;MZI6_arm1;MZI7_arm0;MZI7_arm1;MZI8_arm0;MZI8_arm1,11;7;12;8;13;9;14;10,True,False
4,0.082503786796295,0.11236688498317282,0.1,10.051905970133442,8.405852096355133,MZI5_arm0;MZI5_arm1;MZI6_arm0;MZI6_arm1;MZI7_arm0;MZI7_arm1;MZI8_arm0;MZI8_arm1,11;7;12;8;13;9;14;10,True,True
5,0.04806198485884681,0.033987663860813366,0.0125,3.5948806275757788,3.0790420095694553,MZI5_arm0;MZI5_arm1;MZI6_arm0;MZI6_arm1;MZI7_arm0;MZI7_arm1;MZI8_arm0;MZI8_arm1,11;7;12;8;13;9;14;10,True,True
6,0.15903403030608257,0.01499045517788129,0.025,8.435049951606276,7.530286432484001,MZI5_arm0;MZI5_arm1;MZI6_arm0;MZI6_arm1;MZI7_arm0;MZI7_arm1;MZI8_arm0;MZI8_arm1,11;7;12;8;13;9;14;10,True,True
7,0.01499890551547631,0.00415976627121418,0.0015625,6.516424339142471,4.239650999731672,MZI5_arm0;MZI5_arm1;MZI6_arm0;MZI6_arm1;MZI7_arm0;MZI7_arm1;MZI8_arm0;MZI8_arm1,11;7;12;8;13;9;14;10,True,True
8,0.12132924935272697,0.0026462188227411964,0.0125,3.4469437424490006,2.328224100590612,MZI5_arm0;MZI5_arm1;MZI6_arm0;MZI6_arm1;MZI7_arm0;MZI7_arm1;MZI8_arm0;MZI8_arm1,11;7;12;8;13;9;14;10,True,True
9,0.05522546918536026,0.11473256563741548,0.003125,13.543575639144334,13.299025457102955,MZI5_arm0;MZI5_arm1;MZI6_arm0;MZI6_arm1;MZI7_arm0;MZI7_arm1;MZI8_arm0;MZI8_arm1,11;7;12;8;13;9;14;10,True,True
