mzi,port,voltage,expected_mA,actual_mA,lower_mA,upper_mA,local_sample_row,sample_index,label,iteration
1,43,4.135,8.118549803879494,,7.3066948234915445,8.930404784267443,4,4,4,15
2,45,4.066,7.983077026015483,,7.184769323413935,8.78138472861703,4,4,4,15
3,41,3.646,7.086797112219882,,6.378117400997894,7.79547682344187,4,4,4,15
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,4,4,4,15
5,44,3.533,6.830147897879093,,6.147133108091184,7.513162687667002,4,4,4,15
6,46,3.959,7.708244055269933,,6.93741964974294,8.479068460796926,4,4,4,15
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,4,4,4,15
8,49,4.092,7.951118893700081,,7.156007004330073,8.74623078307009,4,4,4,15
1,43,4.137,8.122476551063958,,7.310228895957562,8.934724206170353,4,4,4,20
2,45,4.068,7.987003773199948,,7.188303395879953,8.785704150519942,4,4,4,20
3,41,3.655,7.104290577389926,,6.393861519650933,7.8147196351289185,4,4,4,20
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,4,4,4,20
5,44,3.541,6.845613842737014,,6.161052458463312,7.530175227010715,4,4,4,20
6,46,3.965,7.719926162956627,,6.947933546660964,8.49191877925229,4,4,4,20
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,4,4,4,20
8,49,4.095,7.956948159751181,,7.161253343776063,8.7526429757263,4,4,4,20
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,5,5,1,4
2,45,3.885,7.627706405821484,,6.864935765239336,8.390477046403632,5,5,1,4
3,41,3.989,7.753492507033767,,6.97814325633039,8.528841757737144,5,5,1,4
4,48,3.804,7.4686067168767405,,6.721746045189066,8.215467388564415,5,5,1,4
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,5,5,1,4
6,46,4.181,8.140482039677593,,7.3264338357098335,8.954530243645353,5,5,1,4
7,42,3.847,7.540541713664158,,6.786487542297742,8.294595885030574,5,5,1,4
8,49,4.133,8.030785529731778,,7.227706976758601,8.833864082704956,5,5,1,4
8,49,4.254,8.265899260459468,7.24186226952718,7.4393093344135215,9.092489186505414,14,14,3,0
1,43,4.255,8.35415463494734,,7.518739171452606,9.189570098442074,18,18,5,1
2,45,4.082,8.014491003491196,,7.213041903142076,8.815940103840315,18,18,5,1
3,41,4.024,7.821522649361713,,7.039370384425541,8.603674914297883,18,18,5,1
4,48,4.075,8.000676227989674,,7.200608605190706,8.800743850788642,18,18,5,1
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,18,18,5,1
6,46,3.966,7.721873180904409,,6.949685862813968,8.49406049899485,18,18,5,1
7,42,3.645,7.144599570134093,,6.430139613120684,7.859059527147503,18,18,5,1
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,18,18,5,1
