sample_index,label,prediction,correct,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,output_power_0,output_power_1,output_power_2,output_power_3,output_power_4,output_power_5,output_power_6,output_power_7
200,1,1,1,2.98446539091e-05,0.346474558115,0.2645008564,0.219770684838,9.45146675804e-05,0.0541745573282,0.0614750832319,0.053479898721,0.0324581675231,0.694486141205,0.05895518139,0.0209565777332,0.022747611627,0.0424353629351,0.0249860957265,0.10297485441
201,5,5,1,0.0602065101266,0.074300326407,0.0627498328686,0.0271445699036,2.72998877335e-05,0.388747245073,0.386796712875,2.74484482361e-05,0.0694102942944,0.0849377885461,0.0570104643703,0.016757208854,0.0458050481975,0.632871985435,0.0413080789149,0.051899176091
202,7,7,1,0.0517591536045,0.0400744117796,0.0634147599339,0.0689761042595,0.0740602687001,0.0792506635189,0.158651098609,0.46381354332,0.0434469431639,0.0569526255131,0.0595585890114,0.0347581095994,0.0573729351163,0.0370346158743,0.0606392174959,0.650236964226
203,2,2,1,0.303218454123,3.1194613257e-05,0.258591204882,0.253474056721,7.60803668527e-05,0.0564301237464,0.062352322042,0.0658266469836,0.0438406765461,0.0710648074746,0.647728800774,0.0214980989695,0.0290128588676,0.040066793561,0.0264249835163,0.120363026857
204,3,3,1,0.0392449833453,0.0693123191595,2.24126924877e-05,0.329469949007,0.218996241689,0.286417216063,3.31889023073e-05,0.0565036684275,0.068014383316,0.0645951107144,0.0344432964921,0.618953585625,0.0634571388364,0.0174254849553,0.0341299474239,0.0989810451865
205,0,0,1,0.387035250664,0.332898795605,0.000126455837744,0.00758272735402,0.0746901035309,0.0710400789976,0.0675871297717,0.0590394474566,0.661870062351,0.032004147768,0.0190549828112,0.0322327874601,0.0512440539896,0.0439531244338,0.0417578145862,0.11788303405
206,4,6,0,0.10859041661,0.0659520253539,0.30481466651,0.0476633608341,0.324718743563,0.0166958123446,0.118724472821,0.0128405606374,0.0703862756491,0.103346571326,0.117476634681,0.00893985945731,0.310241788626,0.00874404143542,0.315913230181,0.064951620996
207,4,4,1,0.0819535553455,0.064839810133,0.295413076878,2.18759414565e-05,0.291595876217,0.211341276765,2.29577854043e-05,0.054811514914,0.0680188536644,0.0636643320322,0.0484980307519,0.0504664964974,0.656383037567,0.00999369006604,0.0172765608877,0.0856989622116
208,2,2,1,0.301761657,5.81566673645e-05,0.267796128988,0.255117028952,0.000462302647065,0.0558969005942,0.0565579272807,0.0623497962952,0.0432558842003,0.0735326558352,0.648903131485,0.0231513585895,0.0337801538408,0.035871643573,0.0273624118418,0.11414283514
209,4,4,1,0.0852114334702,0.0615205764771,0.295165538788,2.38865741267e-05,0.292055308819,0.211503461003,2.60071301454e-05,0.0544937476516,0.0680347010493,0.0604410246015,0.0510790199041,0.0505266040564,0.657033860683,0.010057201609,0.0174317676574,0.0853958949447
