mzi,port,voltage,expected_mA,actual_mA,lower_mA,upper_mA,local_sample_row,sample_index,label,iteration
1,43,4.216,8.27758306485029,,7.449824758365262,9.105341371335319,1,201,5,3
2,45,4.062,7.975223531646557,,7.177701178481901,8.772745884811213,1,201,5,3
3,41,4.061,7.893440228394114,,7.104096205554702,8.682784251233526,1,201,5,3
4,48,4.076,8.002639584119242,,7.202375625707318,8.802903542531165,1,201,5,3
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,1,201,5,3
6,46,3.991,7.770548629598966,,6.9934937666390695,8.547603492558862,1,201,5,3
7,42,3.617,7.089716500733886,,6.380744850660497,7.7986881508072745,1,201,5,3
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,1,201,5,3
1,43,4.147,8.142110286986279,,7.327899258287651,8.956321315684907,7,207,4,18
2,45,4.07,7.9909305203844125,,7.191837468345971,8.790023572422854,7,207,4,18
3,41,3.667,7.127615197616651,,6.414853677854985,7.840376717378316,7,207,4,18
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,7,207,4,18
5,44,3.566,6.893944920418015,,6.204550428376214,7.583339412459816,7,207,4,18
6,46,3.981,7.751078450121143,,6.975970605109028,8.526186295133257,7,207,4,18
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,7,207,4,18
8,49,4.111,7.98803757869038,,7.189233820821342,8.78684133655942,7,207,4,18
1,43,4.165,8.177451011646458,,7.359705910481812,8.995196112811103,9,209,4,16
2,45,4.087,8.024307871452356,,7.2218770843071205,8.826738658597591,9,209,4,16
3,41,3.715,7.22091367852355,,6.498822310671194,7.943005046375905,9,209,4,16
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,9,209,4,16
5,44,3.609,6.977074374029336,,6.279366936626403,7.67478181143227,9,209,4,16
6,46,4.021,7.8289591680324335,,7.0460632512291905,8.611855084835677,9,209,4,16
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,9,209,4,16
8,49,4.141,8.046330239201378,,7.24169721528124,8.850963263121516,9,209,4,16
4,48,4.087,8.02423650154449,7.127301736449911,7.221812851390041,8.826660151698938,11,211,5,0
1,43,4.083,8.016454377083429,,7.214808939375086,8.818099814791772,26,226,4,0
2,45,3.997,7.847604248151472,,7.062843823336325,8.63236467296662,26,226,4,0
3,41,3.773,7.33364934295272,,6.600284408657448,8.067014277247992,26,226,4,0
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,26,226,4,0
