local_sample_row,sample_index,label,input_channel,switch_mzi,port,upload_voltage,mode
0,100,2,1,1,43,4.006,sequential-input-sum
0,100,2,2,2,45,4.261,sequential-input-sum
0,100,2,3,3,41,4.042,sequential-input-sum
0,100,2,4,4,48,3.782,sequential-input-sum
0,100,2,5,5,44,3.977,sequential-input-sum
0,100,2,6,6,46,4.173,sequential-input-sum
0,100,2,7,7,42,3.837,sequential-input-sum
0,100,2,8,8,49,4.125,sequential-input-sum
1,101,5,1,1,43,4.216,sequential-input-sum
1,101,5,2,2,45,4.054,sequential-input-sum
1,101,5,3,3,41,4.061,sequential-input-sum
1,101,5,4,4,48,4.077,sequential-input-sum
1,101,5,5,5,44,3.977,sequential-input-sum
1,101,5,6,6,46,3.991,sequential-input-sum
1,101,5,7,7,42,3.618,sequential-input-sum
1,101,5,8,8,49,4.294,sequential-input-sum
2,102,4,1,1,43,4.117,sequential-input-sum
2,102,4,2,2,45,4.049,sequential-input-sum
2,102,4,3,3,41,3.614,sequential-input-sum
2,102,4,4,4,48,4.23,sequential-input-sum
2,102,4,5,5,44,3.485,sequential-input-sum
2,102,4,6,6,46,3.926,sequential-input-sum
2,102,4,7,7,42,3.995,sequential-input-sum
2,102,4,8,8,49,4.096,sequential-input-sum
3,103,7,1,1,43,4.226,sequential-input-sum
3,103,7,2,2,45,4.124,sequential-input-sum
3,103,7,3,3,41,4.129,sequential-input-sum
3,103,7,4,4,48,4.032,sequential-input-sum
3,103,7,5,5,44,3.851,sequential-input-sum
3,103,7,6,6,46,4.182,sequential-input-sum
3,103,7,7,7,42,3.777,sequential-input-sum
3,103,7,8,8,49,3.903,sequential-input-sum
4,104,6,1,1,43,4.19,sequential-input-sum
4,104,6,2,2,45,4.1,sequential-input-sum
4,104,6,3,3,41,4.14,sequential-input-sum
4,104,6,4,4,48,3.921,sequential-input-sum
4,104,6,5,5,44,3.641,sequential-input-sum
4,104,6,6,6,46,4.329,sequential-input-sum
4,104,6,7,7,42,3.669,sequential-input-sum
4,104,6,8,8,49,4.294,sequential-input-sum
5,105,7,1,1,43,4.24,sequential-input-sum
5,105,7,2,2,45,4.129,sequential-input-sum
5,105,7,3,3,41,4.115,sequential-input-sum
5,105,7,4,4,48,4.07,sequential-input-sum
5,105,7,5,5,44,3.844,sequential-input-sum
5,105,7,6,6,46,4.173,sequential-input-sum
5,105,7,7,7,42,3.786,sequential-input-sum
5,105,7,8,8,49,3.889,sequential-input-sum
6,106,0,1,1,43,3.974,sequential-input-sum
6,106,0,2,2,45,3.854,sequential-input-sum
6,106,0,3,3,41,4.164,sequential-input-sum
6,106,0,4,4,48,4.178,sequential-input-sum
6,106,0,5,5,44,3.826,sequential-input-sum
6,106,0,6,6,46,4.157,sequential-input-sum
6,106,0,7,7,42,3.835,sequential-input-sum
6,106,0,8,8,49,4.156,sequential-input-sum
7,107,5,1,1,43,4.219,sequential-input-sum
7,107,5,2,2,45,4.058,sequential-input-sum
7,107,5,3,3,41,4.057,sequential-input-sum
7,107,5,4,4,48,4.077,sequential-input-sum
7,107,5,5,5,44,3.977,sequential-input-sum
7,107,5,6,6,46,3.992,sequential-input-sum
7,107,5,7,7,42,3.617,sequential-input-sum
7,107,5,8,8,49,4.294,sequential-input-sum
8,108,5,1,1,43,4.215,sequential-input-sum
8,108,5,2,2,45,4.06,sequential-input-sum
8,108,5,3,3,41,4.064,sequential-input-sum
8,108,5,4,4,48,4.077,sequential-input-sum
8,108,5,5,5,44,3.977,sequential-input-sum
8,108,5,6,6,46,3.991,sequential-input-sum
8,108,5,7,7,42,3.617,sequential-input-sum
8,108,5,8,8,49,4.294,sequential-input-sum
9,109,6,1,1,43,4.191,sequential-input-sum
9,109,6,2,2,45,4.101,sequential-input-sum
9,109,6,3,3,41,4.141,sequential-input-sum
9,109,6,4,4,48,3.934,sequential-input-sum
9,109,6,5,5,44,3.636,sequential-input-sum
9,109,6,6,6,46,4.329,sequential-input-sum
9,109,6,7,7,42,3.665,sequential-input-sum
9,109,6,8,8,49,4.294,sequential-input-sum
10,110,6,1,1,43,4.189,sequential-input-sum
10,110,6,2,2,45,4.104,sequential-input-sum
10,110,6,3,3,41,4.141,sequential-input-sum
10,110,6,4,4,48,3.939,sequential-input-sum
10,110,6,5,5,44,3.634,sequential-input-sum
10,110,6,6,6,46,4.329,sequential-input-sum
10,110,6,7,7,42,3.663,sequential-input-sum
10,110,6,8,8,49,4.294,sequential-input-sum
11,111,5,1,1,43,4.216,sequential-input-sum
11,111,5,2,2,45,4.061,sequential-input-sum
11,111,5,3,3,41,4.061,sequential-input-sum
11,111,5,4,4,48,4.076,sequential-input-sum
11,111,5,5,5,44,3.977,sequential-input-sum
11,111,5,6,6,46,3.991,sequential-input-sum
11,111,5,7,7,42,3.617,sequential-input-sum
11,111,5,8,8,49,4.294,sequential-input-sum
12,112,7,1,1,43,4.236,sequential-input-sum
12,112,7,2,2,45,4.118,sequential-input-sum
12,112,7,3,3,41,4.123,sequential-input-sum
12,112,7,4,4,48,4.053,sequential-input-sum
12,112,7,5,5,44,3.847,sequential-input-sum
12,112,7,6,6,46,4.178,sequential-input-sum
12,112,7,7,7,42,3.779,sequential-input-sum
12,112,7,8,8,49,3.889,sequential-input-sum
13,113,1,1,1,43,4.318,sequential-input-sum
13,113,1,2,2,45,3.886,sequential-input-sum
13,113,1,3,3,41,3.991,sequential-input-sum
13,113,1,4,4,48,3.803,sequential-input-sum
13,113,1,5,5,44,3.977,sequential-input-sum
13,113,1,6,6,46,4.182,sequential-input-sum
13,113,1,7,7,42,3.841,sequential-input-sum
13,113,1,8,8,49,4.139,sequential-input-sum
14,114,0,1,1,43,3.972,sequential-input-sum
14,114,0,2,2,45,3.851,sequential-input-sum
14,114,0,3,3,41,4.164,sequential-input-sum
