local_sample_row,sample_index,label,active_input_channel,upload_voltage,component_output_power_sum,component_output_power_0,component_output_power_1,component_output_power_2,component_output_power_3,component_output_power_4,component_output_power_5,component_output_power_6,component_output_power_7
0,100,2,1,4.006,5.4065251300000006e-05,2.126015e-05,5.853856e-06,2.531959e-05,2.754154e-08,1.986935e-07,7.348126e-07,4.042486e-08,6.301828e-07
0,100,2,2,4.261,2.79421008e-06,8.007991e-07,1.490233e-07,3.676136e-07,5.24637e-08,9.731836e-08,6.803609e-07,2.485432e-08,6.217768e-07
0,100,2,3,4.042,5.981639569999999e-06,1.193689e-07,9.680596e-07,5.861611e-07,1.077058e-06,1.723121e-06,7.7138e-07,8.254577e-08,6.539452e-07
0,100,2,4,3.782,7.55281719e-05,4.752125e-07,1.505669e-05,1.279399e-05,2.894983e-05,1.343262e-05,4.290165e-07,4.069607e-06,3.212059e-07
0,100,2,5,3.977,2.7893801e-06,8.004238e-07,1.497179e-07,3.673304e-07,5.265728e-08,9.733974e-08,6.785425e-07,2.494618e-08,6.184223e-07
0,100,2,6,4.173,1.05643897e-05,7.955588e-07,1.299433e-07,2.652623e-07,2.986443e-06,2.029821e-06,2.748956e-06,1.080163e-06,5.282423e-07
0,100,2,7,3.837,1.0729927000000001e-05,8.431919e-07,1.529227e-07,4.223786e-07,1.880891e-06,3.618481e-07,1.751556e-06,4.457887e-06,8.592517e-07
0,100,2,8,4.125,9.833310430000001e-06,8.269858e-07,1.576874e-07,3.819185e-07,4.887893e-08,1.107803e-07,8.635518e-07,9.491217e-07,6.494386e-06
1,101,5,1,4.216,7.67524486e-06,1.1725e-06,1.130696e-06,3.934061e-06,3.810599e-08,6.130141e-08,6.882673e-07,2.948286e-08,6.208303e-07
1,101,5,2,4.054,2.15842133e-05,7.761221e-06,7.690229e-06,3.113966e-06,6.588064e-07,1.004772e-06,7.011017e-07,4.00305e-08,6.140867e-07
1,101,5,3,4.061,4.55221159e-06,1.345677e-07,6.700037e-07,3.062244e-07,7.56358e-07,1.208447e-06,7.543099e-07,7.202059e-08,6.502803e-07
