local_sample_row,sample_index,label,source_voltage_file,source_voltage_row,input_voltage_0,input_voltage_1,input_voltage_2,input_voltage_3,input_voltage_4,input_voltage_5,input_voltage_6,input_voltage_7
0,100,2,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,100,4.006,4.261,4.042,3.782,3.977,4.173,3.837,4.125
1,101,5,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,101,4.216,4.054,4.061,4.077,3.977,3.991,3.618,4.294
2,102,4,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,102,4.117,4.049,3.614,4.23,3.485,3.926,3.995,4.096
3,103,7,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,103,4.226,4.124,4.129,4.032,3.851,4.182,3.777,3.903
4,104,6,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,104,4.19,4.1,4.14,3.921,3.641,4.329,3.669,4.294
5,105,7,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,105,4.24,4.129,4.115,4.07,3.844,4.173,3.786,3.889
6,106,0,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,106,3.974,3.854,4.164,4.178,3.826,4.157,3.835,4.156
7,107,5,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,107,4.219,4.058,4.057,4.077,3.977,3.992,3.617,4.294
8,108,5,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,108,4.215,4.06,4.064,4.077,3.977,3.991,3.617,4.294
9,109,6,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,109,4.191,4.101,4.141,3.934,3.636,4.329,3.665,4.294
10,110,6,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,110,4.189,4.104,4.141,3.939,3.634,4.329,3.663,4.294
11,111,5,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,111,4.216,4.061,4.061,4.076,3.977,3.991,3.617,4.294
12,112,7,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,112,4.236,4.118,4.123,4.053,3.847,4.178,3.779,3.889
13,113,1,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,113,4.318,3.886,3.991,3.803,3.977,4.182,3.841,4.139
14,114,0,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,114,3.972,3.851,4.164,4.181,3.801,4.177,3.847,4.15
15,115,1,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,115,4.318,3.886,3.988,3.803,3.977,4.18,3.841,4.14
16,116,6,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,116,4.213,4.096,4.155,3.928,3.643,4.329,3.657,4.294
17,117,4,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,117,4.123,4.062,3.61,4.23,3.505,3.932,3.995,4.07
18,118,6,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,118,4.188,4.099,4.146,3.927,3.64,4.329,3.665,4.294
19,119,7,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,119,4.236,4.131,4.135,4.032,3.843,4.18,3.783,3.899
20,120,3,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,120,4.214,4.077,4.164,3.782,3.717,3.961,3.995,4.123
21,121,1,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,121,4.318,3.889,3.989,3.802,3.977,4.181,3.838,4.137
22,122,7,results\MNISTInputPassThroughTest\run_20260720_162747\closed_loop_input_final_voltage.csv,122,4.235,4.114,4.133,4.037,3.828,4.181,3.79,3.899
