sample_index,label,prediction,correct,measured_output_power_0,measured_output_power_1,measured_output_power_2,measured_output_power_3,measured_output_power_4,measured_output_power_5,measured_output_power_6,measured_output_power_7,measured_output_power_sum
200,1,1,1,2.14085284e-05,5.076401939999999e-05,2.5028517600000002e-05,3.315524674000001e-05,1.818521499e-05,8.061273999999999e-06,9.86848707e-06,8.8817913e-06,0.0001753530795
201,5,5,1,8.4420525e-06,1.4744870899999997e-05,9.376177599999998e-06,1.7242444830000006e-05,1.1529369199999998e-05,2.22883905e-05,5.62864767e-06,4.3832238e-06,9.3635177e-05
202,7,7,1,5.54599241e-06,9.399776600000002e-06,8.29485876e-06,1.347606018e-05,9.5431272e-06,1.0830381400000002e-05,1.5172408519999998e-05,4.3436914e-05,0.00011569951907000001
203,2,2,1,2.55691765e-05,2.2436008599999998e-05,3.9963610000000005e-05,3.464018831e-05,1.750247371e-05,8.0311278e-06,1.0479274549999999e-05,1.0383656500000001e-05,0.00016900551596999997
204,3,3,1,6.809023100000001e-06,1.782407892e-05,2.0456526500000002e-05,4.789709192e-05,3.2970503880000005e-05,2.6765623099999998e-05,2.056668052e-05,9.9013683e-06,0.00018319089623999998
205,0,0,1,0.0001378294383,2.75847877e-05,3.695758377e-05,7.54153453e-06,8.81497232e-06,9.2060263e-06,1.0170547469999999e-05,8.406048e-06,0.00024651093839
206,4,6,0,1.6544729899999998e-05,2.3488120700000002e-05,2.9279555e-05,2.301968778e-05,3.684084551e-05,9.55358187e-06,2.6395541110000002e-05,4.11049323e-06,0.0001692325551
207,4,4,1,1.93698388e-05,3.0389726249999998e-05,3.61198071e-05,3.9979051550000005e-05,5.550784202e-05,2.6432852799999997e-05,2.9573830169999997e-05,1.12669533e-05,0.00024863990199
208,2,2,1,2.5748066e-05,2.27158364e-05,4.03818409e-05,3.5100271469999996e-05,1.7506044760000002e-05,7.7486966e-06,1.014489565e-05,9.8791522e-06,0.00016922480398
209,4,4,1,1.6172395e-05,2.5658716970000003e-05,3.07435156e-05,3.339653091000001e-05,4.703635901e-05,2.18868859e-05,2.4465558089999995e-05,8.64025877e-06,0.00020800022025
210,1,1,1,2.1663973599999997e-05,5.066113960000001e-05,2.4893099999999997e-05,3.517344163e-05,1.8113423569999995e-05,8.320497699999999e-06,1.476399651e-05,8.7986174e-06,0.00018238819001
211,5,5,1,2.4808772100000007e-05,1.0401385980000002e-05,8.8294633e-06,2.176777537e-05,1.2871594239999998e-05,3.63484316e-05,2.560603e-05,6.0161251e-06,0.00014664957769
212,7,7,1,5.741381220000001e-06,9.630059799999999e-06,8.486792950000002e-06,1.340434012e-05,9.40862725e-06,1.08008059e-05,1.5169148030000001e-05,4.33913451e-05,0.00011603250037000001
213,7,7,1,6.374615520000001e-06,1.12832952e-05,9.30448353e-06,1.3574024220000001e-05,8.8477752e-06,1.16124611e-05,1.820924695e-05,8.1948709e-05,0.00016115461072
214,2,2,1,2.66965146e-05,2.2925069199999997e-05,4.1219656299999995e-05,3.5293264040000004e-05,1.732630378e-05,7.6480833e-06,1.0146535649999998e-05,9.855391e-06,0.00017111081787
215,2,2,1,2.57022304e-05,2.2518116100000003e-05,4.011790670000001e-05,3.510720537e-05,1.754000612e-05,8.4192321e-06,1.0670030819999999e-05,8.7989245e-06,0.00016887365211000003
216,6,6,1,1.124573075e-05,1.04398574e-05,1.8247031199999998e-05,2.480541844e-05,2.4636730580000003e-05,1.78840606e-05,3.658439346e-05,5.17512274e-06,0.00014901834517
217,5,5,1,6.8930301e-06,9.068529059999998e-06,9.085282600000001e-06,2.496623046e-05,1.357398572e-05,3.65881945e-05,2.541020356e-05,5.758675499999999e-06,0.0001313441315
218,7,7,1,5.83648412e-06,9.6320071e-06,8.445030240000001e-06,1.32182127e-05,9.3905503e-06,1.0825967000000002e-05,1.521089233e-05,4.33271068e-05,0.00011588625059
219,7,7,1,5.86109649e-06,9.4779704e-06,8.83918351e-06,1.3594435389999999e-05,9.47416511e-06,1.09718833e-05,1.527916771e-05,4.27693254e-05,0.00011626722731000001
220,1,1,1,2.03287813e-05,4.8232046900000005e-05,2.3903845099999998e-05,3.3706060510000004e-05,1.7007860649999996e-05,7.9547141e-06,1.0204956680000001e-05,1.07845082e-05,0.00017212277344
221,1,1,1,2.14020279e-05,5.01798971e-05,2.4635488499999997e-05,3.3060981940000006e-05,1.78503185e-05,7.7831451e-06,9.72737184e-06,9.2295594e-06,0.00017386879028
222,0,0,1,4.93554167e-05,4.6498821999999996e-05,4.236434873e-05,5.82132203e-06,8.69891686e-06,7.6978214e-06,6.8006659999999994e-06,8.6869276e-06,0.00017592424131999997
223,3,3,1,9.6500885e-06,2.72648318e-05,2.31869081e-05,4.878891457999999e-05,3.2576817739999997e-05,2.8160927500000002e-05,1.9545783400000002e-05,7.6402636e-06,0.00019681453522
224,0,0,1,5.030068000000001e-05,4.74066432e-05,4.285179008e-05,7.07824862e-06,7.988138850000002e-06,8.679274e-06,9.868685855000002e-06,9.0776745e-06,0.00018325113510500002
225,1,1,1,2.1274796199999994e-05,4.99706846e-05,2.4626871899999998e-05,3.317167192e-05,1.7923777309999998e-05,7.919747e-06,9.86890114e-06,9.0838749e-06,0.00017384032496999997
226,4,4,1,3.08290947e-05,4.537290953e-05,5.49649848e-05,6.293781648000001e-05,8.547103584e-05,4.15240009e-05,4.813050933e-05,1.93565415e-05,0.00038858689308000004
227,1,1,1,2.1231221599999998e-05,4.98810527e-05,2.4673244000000003e-05,3.3255882690000003e-05,1.8146137940000004e-05,7.9104217e-06,9.746945240000002e-06,9.2128729e-06,0.00017405777877000002
228,2,2,1,2.56914524e-05,2.2276917799999996e-05,3.9780709e-05,3.639608947e-05,1.784966364e-05,8.9704104e-06,1.560588612e-05,9.5061419e-06,0.00017607727072999998
229,1,1,1,2.2474199900000004e-05,5.2576353899999996e-05,2.57765718e-05,3.558981927000001e-05,1.793498695e-05,8.4930854e-06,1.098802994e-05,9.850286600000001e-06,0.00018368333376000002
230,2,2,1,2.5993320700000003e-05,2.2746920400000002e-05,4.0518380900000005e-05,3.518108183e-05,1.756377252e-05,7.815763399999999e-06,1.004278419e-05,9.305806400000001e-06,0.00016916783033999998
231,7,7,1,9.18927994e-06,2.0644500999999998e-05,1.0935893699999999e-05,1.693018748e-05,1.0379095749999999e-05,1.00045007e-05,9.91556603e-06,4.6067533e-06,9.26057779e-05
232,5,5,1,8.5230356e-06,1.4802038820000001e-05,9.298124199999999e-06,2.452951003e-05,1.3500565530000001e-05,3.5809254700000005e-05,2.579877554e-05,5.820966500000001e-06,0.00013808227092
