mzi,port,voltage,expected_mA,actual_mA,lower_mA,upper_mA,local_sample_row,sample_index,label,active_input_channel
1,43,4.318,8.477847171257958,7.444798070978334,7.630062454132162,9.325631888383754,5,205,0,2
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,12,212,7,2
2,45,4.134,8.116586430287263,,7.304927787258537,8.92824507331599,12,212,7,2
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,12,212,7,2
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,12,212,7,2
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,12,212,7,2
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,12,212,7,2
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,12,212,7,2
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,12,212,7,2
8,49,4.294,8.343622807807465,7.2222233209996505,7.5092605270267185,9.177985088588212,13,213,7,1
1,43,4.228,8.301143547957075,,7.4710291931613675,9.131257902752782,19,219,7,1
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,19,219,7,1
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,19,219,7,1
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,19,219,7,1
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,19,219,7,1
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,19,219,7,1
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,19,219,7,1
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,19,219,7,1
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,20,220,1,4
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,20,220,1,4
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,20,220,1,4
4,48,3.787,7.435229662674084,,6.691706696406675,8.178752628941492,20,220,1,4
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,20,220,1,4
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,20,220,1,4
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,20,220,1,4
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,20,220,1,4
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,20,220,1,8
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,20,220,1,8
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,20,220,1,8
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,20,220,1,8
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,20,220,1,8
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,20,220,1,8
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,20,220,1,8
8,49,4.121,8.007468465527381,,7.206721618974643,8.808215312080119,20,220,1,8
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,24,224,0,3
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,24,224,0,3
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,24,224,0,3
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,24,224,0,3
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,24,224,0,3
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,24,224,0,3
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,24,224,0,3
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,24,224,0,3
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,32,232,5,4
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,32,232,5,4
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,32,232,5,4
4,48,4.078,8.006566296378377,,7.205909666740539,8.807222926016214,32,232,5,4
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,32,232,5,4
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,32,232,5,4
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,32,232,5,4
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,32,232,5,4
1,43,4.318,8.477847171257958,-107.25320764598062,7.630062454132162,9.325631888383754,33,233,2,5
2,45,4.261,8.36593487650073,-107.25320764598062,7.529341388850658,9.202528364150805,33,233,2,5
3,41,4.164,8.093643218673503,-107.25320764598062,7.2842788968061525,8.903007540540854,33,233,2,5
4,48,4.23,8.304996428072716,-107.25320764598062,7.474496785265444,9.135496070879988,33,233,2,5
5,44,3.977,7.688507837493675,-107.25320764598062,6.919657053744308,8.457358621243042,33,233,2,5
6,46,4.329,8.428640695949365,-107.25320764598062,7.585776626354429,9.271504765544302,33,233,2,5
7,42,3.995,7.8306379376366815,-107.25320764598062,7.047574143873013,8.613701731400349,33,233,2,5
8,49,4.294,8.343622807807465,-107.25320764598062,7.5092605270267185,9.177985088588212,33,233,2,5
2,45,4.261,8.36593487650073,7.2745938504064025,7.529341388850658,9.202528364150805,36,236,1,3
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,36,236,1,5
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,36,236,1,5
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,36,236,1,5
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,36,236,1,5
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,36,236,1,5
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,36,236,1,5
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,36,236,1,5
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,36,236,1,5
2,45,4.261,8.36593487650073,7.497168600385087,7.529341388850658,9.202528364150805,41,241,4,3
3,41,3.48,6.76413986575019,7.687011769484565,6.087725879175171,7.440553852325209,41,241,4,3
4,48,4.23,8.304996428072716,7.055292258515647,7.474496785265444,9.135496070879988,51,251,2,5
1,43,4.318,8.477847171257958,6.299192740205676,7.630062454132162,9.325631888383754,56,256,0,7
2,45,4.261,8.36593487650073,5.732936390995203,7.529341388850658,9.202528364150805,56,256,0,7
3,41,4.164,8.093643218673503,6.904726986471227,7.2842788968061525,8.903007540540854,56,256,0,7
4,48,4.23,8.304996428072716,7.199311214384194,7.474496785265444,9.135496070879988,56,256,0,7
5,44,3.977,7.688507837493675,6.204271155655954,6.919657053744308,8.457358621243042,56,256,0,7
6,46,4.329,8.428640695949365,9.284312916390448,7.585776626354429,9.271504765544302,56,256,0,7
7,42,3.84,7.526820946314106,5.932599034358428,6.774138851682696,8.279503040945517,56,256,0,7
8,49,4.294,8.343622807807465,7.104389629834472,7.5092605270267185,9.177985088588212,56,256,0,7
5,44,3.977,7.688507837493675,6.885088037943698,6.919657053744308,8.457358621243042,58,258,3,6
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,60,260,6,3
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,60,260,6,3
3,41,4.15,8.066431161742326,,7.259788045568094,8.873074277916558,60,260,6,3
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,60,260,6,3
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,60,260,6,3
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,60,260,6,3
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,60,260,6,3
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,60,260,6,3
7,42,3.995,7.8306379376366815,6.790166453393958,7.047574143873013,8.613701731400349,61,261,5,8
7,42,3.995,7.8306379376366815,6.7770738210422845,7.047574143873013,8.613701731400349,63,263,5,8
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,71,271,1,3
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,71,271,1,3
3,41,3.991,7.75737994373822,,6.981641949364398,8.533117938112042,71,271,1,3
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,71,271,1,3
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,71,271,1,3
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,71,271,1,3
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,71,271,1,3
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,71,271,1,3
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,76,276,3,4
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,76,276,3,4
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,76,276,3,4
4,48,3.79,7.441119731062788,,6.697007757956509,8.185231704169066,76,276,3,4
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,76,276,3,4
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,76,276,3,4
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,76,276,3,4
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,76,276,3,4
2,45,4.261,8.36593487650073,7.461163861417955,7.529341388850658,9.202528364150805,77,277,3,3
