input_channel,switch_mzi,port,feature_coefficient,upload_voltage,mode,target_leak_power,p_on_leak,p_off_leak,scan_path,local_sample_row,sample_index
1,1,43,0.0485337525606,4.076,scan-leak-inverse,224.94544505534205,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt,0,0
2,2,45,0.0458595342934,3.98,scan-leak-inverse,213.87883765431258,1.039097829999994,224.10870599999998,Scandata-backup-04\1Col\power_data\45.txt,0,0
3,3,41,0.0544518083334,3.899,scan-leak-inverse,190.9639223199059,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt,0,0
4,4,48,0.0657622739673,4.007,scan-leak-inverse,160.1029612443949,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt,0,0
5,5,44,0.0749263688922,3.767,scan-leak-inverse,198.49066384458737,0.20073613599999998,214.55116299999997,Scandata-backup-04\1Col\power_data\44.txt,0,0
6,6,46,0.0799722149968,4.143,scan-leak-inverse,180.7156275446225,0.37372683820000385,196.391612,Scandata-backup-04\1Col\power_data\46.txt,0,0
7,7,42,0.160903915763,3.702,scan-leak-inverse,202.46297099555625,1.038195726200002,241.08791,Scandata-backup-04\1Col\power_data\42.txt,0,0
8,8,49,0.469590127468,3.78,scan-leak-inverse,114.08576174263442,0.8268781760000037,214.357752,Scandata-backup-04\1Col\power_data\49.txt,0,0
1,1,43,0.301127493382,3.853,scan-leak-inverse,165.46104399643292,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt,1,1
2,2,45,3.94923372369e-05,4.261,scan-leak-inverse,224.09989645980684,1.039097829999994,224.10870599999998,Scandata-backup-04\1Col\power_data\45.txt,1,1
3,3,41,0.26051941514,3.698,scan-leak-inverse,149.48291927782836,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt,1,1
4,4,48,0.253521502018,3.82,scan-leak-inverse,128.06008821581344,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt,1,1
