sample_index,label,theory_vector,actual_vector_lstsq,actual_vector_diag,lstsq_error_vector,lstsq_mae,lstsq_max_abs_error,actual_lstsq_sum,theory_sum,output_power_mae_vs_csv_expected,output_power_max_abs_error_vs_csv_expected
0,7,"[0.0485, 0.0459, 0.0545, 0.0658, 0.0749, 0.0800, 0.1609, 0.4696]","[-0.3667, 206.1169, -1.1053, 0.5705, 0.7500, -0.5067, -0.4568, -0.3232]","[0.5769, 16.5135, 0.0977, 0.1044, 0.0567, 0.3638, 0.2718, 0.3552]","[-0.4152, +206.0711, -1.1597, +0.5047, +0.6751, -0.5867, -0.6177, -0.7928]",26.35287384465622,206.07106068019183,204.67868351870789,0.9999999962747,1.9494825461625984e-05,7.428780670912782e-05
1,2,"[0.3011, 0.0000, 0.2605, 0.2535, 0.0002, 0.0625, 0.0642, 0.0579]","[-1.8254, 491.9358, -0.4420, 1.6132, 0.4805, -2.8694, 0.2769, -1.6355]","[0.7720, 547.2562, 0.4863, 0.1062, 0.1254, 0.1608, 0.0395, 0.0344]","[-2.1265, +491.9357, -0.7025, +1.3597, +0.4802, -2.9318, +0.2127, -1.6934]",62.68033280833809,491.93572005034457,487.5341498779561,1.000000028096437,2.6960494914735942e-05,6.052598920074638e-05
2,1,"[0.0000, 0.3455, 0.2620, 0.2179, 0.0001, 0.0564, 0.0597, 0.0583]","[1.3471, -160.4557, 0.8660, -0.4785, -0.5907, 0.6777, 0.4904, 0.5502]","[0.6172, 139.7354, 2.0215, 0.1210, 0.1218, 0.1195, 0.0390, 0.0318]","[+1.3470, -160.8013, +0.6039, -0.6964, -0.5909, +0.6213, +0.4308, +0.4919]",20.6979325372127,160.80126982564462,-157.59355658526792,1.0000001051811758,2.872255554525356e-05,9.040526954001733e-05
3,0,"[0.3778, 0.3314, 0.0002, 0.0105, 0.0772, 0.0669, 0.0723, 0.0638]","[-1.2947, 584.2545, -2.8775, 1.8852, 2.0082, -2.0990, -1.4989, -1.8682]","[1.4183, 149.1298, 0.2076, 0.0970, 0.0175, 0.1786, 0.1513, 0.0454]","[-1.6725, +583.9231, -2.8777, +1.8747, +1.9310, -2.1659, -1.5712, -1.9320]",74.74350852475287,583.9230761900849,578.5095885989126,1.0000000432188372,2.756439594214887e-05,0.0001509483130624
4,4,"[0.0842, 0.0609, 0.2904, 0.0000, 0.2971, 0.2095, 0.0000, 0.0580]","[-0.9203, 495.3085, -3.4088, 2.2610, 2.0803, -1.2750, -1.9356, -1.5628]","[1.2504, 64.8484, 0.1916, 0.6417, 0.0941, 0.1623, 0.1227, 0.0355]","[-1.0044, +495.2477, -3.6992, +2.2609, +1.7833, -1.4844, -1.9356, -1.6209]",63.629548303307885,495.2476829403435,490.5473498303375,0.9999999613218387,3.609864089617747e-05,0.0001616611078393
5,1,"[0.0000, 0.3467, 0.2646, 0.2182, 0.0001, 0.0552, 0.0550, 0.0602]","[1.3522, -161.2955, 0.8673, -0.4737, -0.5930, 0.6773, 0.4885, 0.5537]","[0.6182, 141.2563, 2.0313, 0.1239, 0.1217, 0.1127, 0.0355, 0.0324]","[+1.3522, -161.6422, +0.6027, -0.6918, -0.5931, +0.6221, +0.4335, +0.4935]",20.803884763522127,161.6422130687796,-158.423147889902,0.9999999339272289,2.8743397052098183e-05,9.080828949278156e-05
6,4,"[0.0785, 0.0655, 0.3008, 0.0000, 0.2868, 0.2140, 0.0000, 0.0543]","[-0.5448, 263.7104, -1.7971, 1.3349, 1.2817, -0.6129, -0.9186, -0.8156]","[0.6245, 77.2273, 0.1551, 0.6514, 0.3585, 0.2547, 0.4050, 0.0428]","[-0.6233, +263.6449, -2.0979, +1.3348, +0.9949, -0.8270, -0.9186, -0.8699]",33.913935964394234,263.6449412886808,261.63791486083727,0.9999999481747082,1.839685221757801e-05,7.098951432388209e-05
7,5,"[0.0822, 0.0635, 0.0775, 0.0445, 0.0001, 0.3624, 0.3698, 0.0001]","[-0.4680, 250.6372, -0.9490, 0.3545, 0.5458, -0.2252, -0.3348, -0.8017]","[0.7259, 21.9540, 0.1214, 0.1034, 0.0772, 0.9679, 0.1809, 0.0291]","[-0.5502, +250.5737, -1.0265, +0.3100, +0.5458, -0.5876, -0.7046, -0.8018]",31.887504577443305,250.5736606150972,248.75874439014265,1.0000000180297866,2.7683369750202304e-05,9.083654715681473e-05
8,0,"[0.3811, 0.3294, 0.0001, 0.0081, 0.0833, 0.0686, 0.0697, 0.0596]","[-1.2939, 577.5079, -2.7518, 1.8458, 1.9293, -2.1262, -1.4065, -1.8523]","[1.4017, 165.0646, 0.2443, 0.0798, 0.0144, 0.1796, 0.1463, 0.0421]","[-1.6750, +577.1785, -2.7520, +1.8378, +1.8460, -2.1948, -1.4762, -1.9119]",73.85902329444495,577.1785102527882,571.8524005962388,0.999999991152377,2.7645418434968136e-05,0.0001480435818042
9,6,"[0.0612, 0.0639, 0.0646, 0.1637, 0.3245, 0.0000, 0.3221, 0.0000]","[-0.4213, 255.0293, -1.9942, 1.2386, 1.5917, -0.6885, -0.8662, -0.8172]","[0.6708, 19.2655, 0.1219, 0.5928, 0.4225, 0.1945, 0.7453, 0.0166]","[-0.4825, +254.9653, -2.0588, +1.0749, +1.2672, -0.6885, -1.1883, -0.8172]",32.81784170603857,254.9653366223861,253.0720893020866,1.0000000568976306,1.8143809186626754e-05,8.489670911557092e-05
