source_run,sample_index,label,prediction,correct,output_power_0,output_power_1,output_power_2,output_power_3,output_power_4,output_power_5,output_power_6,output_power_7,output_power_norm_0,output_power_norm_1,output_power_norm_2,output_power_norm_3,output_power_norm_4,output_power_norm_5,output_power_norm_6,output_power_norm_7,predicted_output_index,predicted_class,predicted_output_power,output_power_sum,inference_correct
run_20260720_193925,0,7,7,1,5.9069900000000005e-06,9.7065111e-06,8.542057830000002e-06,1.358814286e-05,9.77914818e-06,1.07797257e-05,1.210409969e-05,4.9053711e-06,0.0784335345758708,0.1288839110905764,0.1134221977958983,0.1804245601959174,0.1298483926498257,0.1431341492721933,0.1607193040017678,0.0651339504179501,3,3,1.358814286e-05,7.531204646e-05,False
run_20260720_193925,1,2,2,1,2.5999435400000003e-05,2.25475901e-05,4.09189244e-05,3.683528228e-05,1.896784867e-05,8.806327100000001e-06,1.101526526e-05,9.7211561e-06,0.1487281238496411,0.1289820613913693,0.2340741159308906,0.2107138997709284,0.1085043772201688,0.0503760365345953,0.06301212740281,0.0556092578995963,2,2,4.09189244e-05,0.00017481182931,True
run_20260720_193925,2,1,1,1,5.349689499999999e-06,1.6186434e-05,1.49453025e-05,3.231356378e-05,1.821979342e-05,7.2379793e-06,5.782401489999999e-06,9.53668e-06,0.048823578258738,0.1477243916920595,0.1363972892649682,0.2949075474439316,0.1662817084803539,0.0660569270027122,0.05277269487705,0.0870358629801864,3,3,3.231356378e-05,0.00010957184399,False
run_20260720_193925,3,0,0,1,5.06618783e-05,4.82460492e-05,4.387637064e-05,7.87871912e-06,8.66819048e-06,9.5065948e-06,1.096461016e-05,9.3542577e-06,0.2678302498815818,0.2550586722528818,0.231957829175238,0.0416518175295604,0.0458254549610638,0.0502577825032386,0.0579657600063148,0.0494524336901206,0,0,5.06618783e-05,0.0001891566704,True
run_20260720_193925,4,4,4,1,2.4493069300000004e-05,3.775088687e-05,4.55622277e-05,4.997948894e-05,6.962596942000002e-05,3.41188358e-05,3.882470462000001e-05,1.50029722e-05,0.0776674676817858,0.1197079773883006,0.1444777215977549,0.1584848470583319,0.2207837924886311,0.1081907516113817,0.1231130510592534,0.0475743911145603,4,4,6.962596942000002e-05,0.00031535815485,True
run_20260720_193925,5,1,1,1,2.20668518e-05,5.17091774e-05,2.51007924e-05,3.435127171e-05,1.898249869e-05,8.0600084e-06,9.74872427e-06,1.00909814e-05,0.1225185403406271,0.2870972712683259,0.1393634431460271,0.1907235208220086,0.1053937395599252,0.044750400884153,0.0541264099912814,0.0560266739876513,1,1,5.17091774e-05,0.00018011030607,True
run_20260720_193925,6,4,4,1,3.2099261299999994e-05,4.880473864e-05,5.78304374e-05,6.415162827e-05,8.806893537000001e-05,4.41771679e-05,4.905017089e-05,1.78318269e-05,0.0798460948923454,0.1214005442750035,0.1438517400494273,0.1595755413332484,0.2190692335533858,0.1098895799268277,0.1220110507455416,0.04435621522422,4,4,8.806893537000001e-05,0.00040201416667,True
run_20260720_193925,7,5,5,1,9.81751e-06,1.252887277e-05,1.2724229600000002e-05,2.615466756e-05,1.465381396e-05,3.8671996900000005e-05,2.7847833710000003e-05,6.2765974e-06,0.0660331295598431,0.0842699094638254,0.0855838905920127,0.1759177787019424,0.0985623845319758,0.2601100464003146,0.1873061103409518,0.0422167504091337,5,5,3.8671996900000005e-05,0.0001486755219,True
run_20260720_193925,8,0,0,1,5.09239924e-05,4.808189759999999e-05,4.419095506e-05,7.90670639e-06,8.9801278e-06,9.5645567e-06,1.111688791e-05,8.8340253e-06,0.2685876631072114,0.2535976443619184,0.2330757034289636,0.0417022250628753,0.0473637557962973,0.0504462005361037,0.0586336381742864,0.0465931695323437,0,0,5.09239924e-05,0.0001895991491599,True
run_20260720_193925,9,6,6,1,7.736047869999999e-06,1.6401212300000006e-05,1.2370125900000002e-05,2.8797474860000004e-05,2.61730975e-05,1.72983079e-05,3.525573386e-05,5.35998057e-06,0.0517835551188523,0.1097864304132143,0.0828031453701169,0.1927645293508992,0.1751974728954654,0.1157914086954234,0.2359948216808153,0.0358786364752126,6,6,3.525573386e-05,0.00014939198076,True
