global_target_layer,current_layer,layer_status,skip_reason,layer_iter,loss_before_iter,loss_after_iter,grad_norm,max_abs_grad,accepted,rejected,lr_used
3,1,skipped,first_or_last_layer_bar_fixed,,,,,,,,
3,2,optimized,,0,0.007874872925202394,0.007749794518336911,1.2417356414708312,1.213565860970818,True,True,0.02
3,2,optimized,,1,0.007752915592082575,0.007699713588188934,2.0827214741473976,2.0692403370052546,True,True,0.01
3,3,optimized,,0,0.10667732982532555,0.009995158441109705,1.9702418868395044,1.325675697050139,True,True,0.01
3,3,optimized,,1,0.10506552717818513,0.009758535649246156,2.860183839219713,1.993623111890431,True,True,0.02
3,3,optimized,,2,0.10293781724079058,0.1471577208459242,6.259111287108962,4.251159507735813,True,True,0.02
3,3,optimized,,3,0.03655909142614715,0.009219458575566181,2.6465852442668187,1.6559002176101885,True,True,0.01
3,3,optimized,,4,0.00924262077731704,0.3194110601416918,2.7400091458084836,1.8065316972621814,True,True,0.01
3,3,optimized,,5,0.009254984394929989,0.009054634595392078,2.5712104255225716,2.1812313909038523,True,True,0.01
3,3,optimized,,6,0.009014048566452035,0.15044186580608052,2.7163998613101508,2.158461766555278,True,True,0.01
3,3,optimized,,7,0.23779488547244404,0.0548289524299475,1.7549818815834364,1.4289515539502526,True,True,0.02
3,3,optimized,,8,0.010176822124493905,0.07217830173934017,4.443164052213305,3.8053561328876504,True,True,0.01
3,3,optimized,,9,0.03648269543128572,0.008930532634495657,3.8372122802440316,2.7244249203455646,True,True,0.01
