mzi,port,voltage,expected_mA,actual_mA,lower_mA,upper_mA,local_sample_row,sample_index,label,active_input_channel
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,17,17,6,6
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,17,17,6,6
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,17,17,6,6
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,17,17,6,6
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,17,17,6,6
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,17,17,6,6
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,17,17,6,6
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,17,17,6,6
1,43,4.125,8.098916067957173,,7.289024461161456,8.908807674752891,19,19,4,1
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,19,19,4,1
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,19,19,4,1
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,19,19,4,1
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,19,19,4,1
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,19,19,4,1
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,19,19,4,1
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,19,19,4,1
