local_sample_row,sample_index,label,active_input_channel,upload_voltage,component_output_power_sum,component_output_power_0,component_output_power_1,component_output_power_2,component_output_power_3,component_output_power_4,component_output_power_5,component_output_power_6,component_output_power_7
0,0,7,1,4.236,5.749582659999999e-06,6.076942e-07,8.552703e-07,2.870212e-06,3.73461e-08,6.022747e-08,6.751622e-07,2.710459e-08,6.165658e-07
0,0,7,2,4.133,8.43876991e-06,1.19655e-06,4.385431e-06,1.407327e-06,4.142827e-08,6.133349e-08,6.843404e-07,2.271915e-08,6.396406e-07
0,0,7,3,4.132,2.19735488e-06,4.710724e-07,1.149918e-07,5.87521e-08,7.741412e-08,1.304245e-07,6.859945e-07,3.496266e-08,6.237428e-07
0,0,7,4,4.035,1.65155943e-05,1.084653e-07,3.347161e-06,1.781714e-06,6.348547e-06,3.15508e-06,5.898589e-07,7.439647e-07,4.408034e-07
0,0,7,5,3.838,2.75034629e-06,7.871838e-07,1.483765e-07,3.711561e-07,4.749439e-08,9.196516e-08,6.664463e-07,2.295324e-08,6.147708e-07
0,0,7,6,4.176,1.01808138e-05,7.854725e-07,1.308485e-07,2.718797e-07,2.879522e-06,1.937955e-06,2.610811e-06,1.034103e-06,5.302221e-07
0,0,7,7,3.786,1.7376573199999998e-05,8.422131e-07,1.543323e-07,4.408163e-07,2.952531e-06,6.733035e-07,3.791316e-06,7.446745e-06,1.075316e-06
0,0,7,8,3.901,4.715796612e-05,8.520179e-07,1.662824e-07,4.10356e-07,5.466602e-08,1.178188e-07,1.340758e-06,3.569417e-06,4.064665e-05
1,1,2,1,4.006,5.4288046329999996e-05,2.143207e-05,5.819348e-06,2.5442e-05,2.535842e-08,1.912439e-07,7.153463e-07,3.901211e-08,6.236676e-07
1,1,2,2,4.261,2.74665368e-06,7.860591e-07,1.483756e-07,3.710642e-07,4.830298e-08,9.191516e-08,6.651187e-07,2.315764e-08,6.126603e-07
1,1,2,3,4.039,6.26703874e-06,1.104521e-07,1.083976e-06,6.714342e-07,1.123816e-06,1.788023e-06,7.595155e-07,8.102464e-08,6.487973e-07
1,1,2,4,3.776,7.74994876e-05,4.748987e-07,1.496141e-05,1.278602e-05,3.027967e-05,1.408695e-05,4.229101e-07,4.168347e-06,3.192818e-07
1,1,2,5,3.977,2.75249915e-06,7.885661e-07,1.484384e-07,3.71893e-07,4.836574e-08,9.202748e-08,6.653077e-07,2.335973e-08,6.14541e-07
1,1,2,6,4.174,1.0455603700000001e-05,7.86926e-07,1.312118e-07,2.715629e-07,2.95687e-06,1.991365e-06,2.721158e-06,1.068379e-06,5.28131e-07
1,1,2,7,3.833,1.1223467200000001e-05,8.305795e-07,1.519192e-07,4.265859e-07,1.943406e-06,3.87736e-07,1.903493e-06,4.70347e-06,8.762776e-07
1,1,2,8,4.137,8.5798484e-06,8.128897e-07,1.568654e-07,3.85868e-07,4.37992e-08,1.053397e-07,8.387016e-07,8.342188e-07,5.402166e-06
2,2,1,1,4.318,2.75299763e-06,7.888473e-07,1.482611e-07,3.720955e-07,4.820271e-08,9.194784e-08,6.666772e-07,2.322878e-08,6.137372e-07
2,2,1,2,3.887,6.428237645e-05,1.72942e-05,3.504143e-05,1.00698e-05,2.579841e-07,2.067294e-07,7.090944e-07,1.935155e-08,6.83787e-07
2,2,1,3,3.998,1.0520710900000001e-05,2.110743e-07,1.968996e-06,1.601176e-06,1.998279e-06,3.178729e-06,7.970753e-07,1.061217e-07,6.592596e-07
2,2,1,4,3.804,6.94115554e-05,3.666375e-07,1.348462e-05,1.12422e-05,2.717272e-05,1.26703e-05,4.419659e-07,3.710708e-06,3.22404e-07
2,2,1,5,3.977,2.74685978e-06,7.867441e-07,1.483598e-07,3.708442e-07,4.763425e-08,9.241727e-08,6.638874e-07,2.299846e-08,6.139743e-07
2,2,1,6,4.18,9.6995209e-06,7.809789e-07,1.314526e-07,2.727424e-07,2.734916e-06,1.849268e-06,2.422032e-06,9.758754e-07,5.322556e-07
2,2,1,7,3.84,1.04104932e-05,8.248795e-07,1.513683e-07,4.227756e-07,1.800842e-06,3.530046e-07,1.67489e-06,4.332524e-06,8.502092e-07
2,2,1,8,4.135,8.75501426e-06,8.069421e-07,1.556539e-07,3.837734e-07,4.379256e-08,1.054826e-07,8.355354e-07,8.534303e-07,5.570404e-06
3,3,0,1,3.979,6.304393673e-05,2.558653e-05,6.60773e-06,2.921156e-05,2.474394e-08,2.254267e-07,7.223045e-07,3.961989e-08,6.260217e-07
3,3,0,2,3.858,7.353485763e-05,2.015919e-05,3.995317e-05,1.147336e-05,2.958193e-07,2.368046e-07,7.097748e-07,1.901653e-08,6.877224e-07
3,3,0,3,4.164,2.74292792e-06,7.840688e-07,1.479759e-07,3.720388e-07,4.822012e-08,9.201172e-08,6.640055e-07,2.283608e-08,6.11771e-07
3,3,0,4,4.173,2.74320581e-06,7.849155e-07,1.482982e-07,3.689579e-07,4.740442e-08,9.231756e-08,6.645153e-07,2.292733e-08,6.138696e-07
3,3,0,5,3.806,1.55970154e-05,1.157665e-06,6.30053e-07,1.51463e-06,1.831369e-06,5.051715e-06,1.032098e-06,4.125994e-06,2.534914e-07
3,3,0,6,4.171,1.081048e-05,7.78317e-07,1.292992e-07,2.669506e-07,3.06947e-06,2.054793e-06,2.879187e-06,1.108852e-06,5.236112e-07
