local_sample_row,sample_index,label,input_channel,switch_mzi,port,upload_voltage,mode
0,0,7,1,1,43,4.236,sequential-input-sum
0,0,7,2,2,45,4.133,sequential-input-sum
0,0,7,3,3,41,4.132,sequential-input-sum
0,0,7,4,4,48,4.035,sequential-input-sum
0,0,7,5,5,44,3.838,sequential-input-sum
0,0,7,6,6,46,4.176,sequential-input-sum
0,0,7,7,7,42,3.786,sequential-input-sum
0,0,7,8,8,49,3.901,sequential-input-sum
1,1,2,1,1,43,4.006,sequential-input-sum
1,1,2,2,2,45,4.261,sequential-input-sum
1,1,2,3,3,41,4.039,sequential-input-sum
1,1,2,4,4,48,3.776,sequential-input-sum
1,1,2,5,5,44,3.977,sequential-input-sum
1,1,2,6,6,46,4.174,sequential-input-sum
1,1,2,7,7,42,3.833,sequential-input-sum
1,1,2,8,8,49,4.137,sequential-input-sum
2,2,1,1,1,43,4.318,sequential-input-sum
2,2,1,2,2,45,3.887,sequential-input-sum
2,2,1,3,3,41,3.998,sequential-input-sum
2,2,1,4,4,48,3.804,sequential-input-sum
2,2,1,5,5,44,3.977,sequential-input-sum
2,2,1,6,6,46,4.18,sequential-input-sum
2,2,1,7,7,42,3.84,sequential-input-sum
2,2,1,8,8,49,4.135,sequential-input-sum
3,3,0,1,1,43,3.979,sequential-input-sum
3,3,0,2,2,45,3.858,sequential-input-sum
3,3,0,3,3,41,4.164,sequential-input-sum
3,3,0,4,4,48,4.173,sequential-input-sum
3,3,0,5,5,44,3.806,sequential-input-sum
3,3,0,6,6,46,4.171,sequential-input-sum
3,3,0,7,7,42,3.832,sequential-input-sum
3,3,0,8,8,49,4.14,sequential-input-sum
4,4,4,1,1,43,4.137,sequential-input-sum
4,4,4,2,2,45,4.068,sequential-input-sum
4,4,4,3,3,41,3.655,sequential-input-sum
4,4,4,4,4,48,4.23,sequential-input-sum
4,4,4,5,5,44,3.541,sequential-input-sum
4,4,4,6,6,46,3.965,sequential-input-sum
4,4,4,7,7,42,3.995,sequential-input-sum
4,4,4,8,8,49,4.095,sequential-input-sum
5,5,1,1,1,43,4.318,sequential-input-sum
5,5,1,2,2,45,3.885,sequential-input-sum
5,5,1,3,3,41,3.989,sequential-input-sum
5,5,1,4,4,48,3.804,sequential-input-sum
5,5,1,5,5,44,3.977,sequential-input-sum
5,5,1,6,6,46,4.181,sequential-input-sum
5,5,1,7,7,42,3.847,sequential-input-sum
