local_sample_row,sample_index,label,source_voltage_file,source_voltage_row,input_voltage_0,input_voltage_1,input_voltage_2,input_voltage_3,input_voltage_4,input_voltage_5,input_voltage_6,input_voltage_7
0,0,7,results\MNISTInputPassThroughTest\run_20260720_140500\closed_loop_input_final_voltage.csv,0,4.236,4.133,4.132,4.035,3.838,4.176,3.786,3.901
1,1,2,results\MNISTInputPassThroughTest\run_20260720_140500\closed_loop_input_final_voltage.csv,1,4.006,4.261,4.039,3.776,3.977,4.174,3.833,4.137
2,2,1,results\MNISTInputPassThroughTest\run_20260720_140500\closed_loop_input_final_voltage.csv,2,4.318,3.887,3.998,3.804,3.977,4.18,3.84,4.135
3,3,0,results\MNISTInputPassThroughTest\run_20260720_140500\closed_loop_input_final_voltage.csv,3,3.979,3.858,4.164,4.173,3.806,4.171,3.832,4.14
4,4,4,results\MNISTInputPassThroughTest\run_20260720_140500\closed_loop_input_final_voltage.csv,4,4.137,4.068,3.655,4.23,3.541,3.965,3.995,4.095
5,5,1,results\MNISTInputPassThroughTest\run_20260720_140500\closed_loop_input_final_voltage.csv,5,4.318,3.885,3.989,3.804,3.977,4.181,3.847,4.133
6,6,4,results\MNISTInputPassThroughTest\run_20260720_140500\closed_loop_input_final_voltage.csv,6,4.099,4.014,3.478,4.23,3.408,3.85,3.995,4.053
7,7,5,results\MNISTInputPassThroughTest\run_20260720_140500\closed_loop_input_final_voltage.csv,7,4.202,4.096,4.052,4.049,3.977,3.99,3.632,4.294
8,8,0,results\MNISTInputPassThroughTest\run_20260720_140500\closed_loop_input_final_voltage.csv,8,3.977,3.859,4.164,4.182,3.799,4.169,3.835,4.146
9,9,6,results\MNISTInputPassThroughTest\run_20260720_140500\closed_loop_input_final_voltage.csv,9,4.197,4.091,4.149,3.929,3.635,4.329,3.656,4.294
10,10,0,results\MNISTInputPassThroughTest\run_20260720_140500\closed_loop_input_final_voltage.csv,10,3.971,3.849,4.164,4.186,3.808,4.175,3.849,4.148
11,11,1,results\MNISTInputPassThroughTest\run_20260720_140500\closed_loop_input_final_voltage.csv,11,4.318,3.887,4.006,3.803,3.977,4.179,3.827,4.147
12,12,5,results\MNISTInputPassThroughTest\run_20260720_140500\closed_loop_input_final_voltage.csv,12,4.217,4.049,4.084,4.072,3.977,3.987,3.619,4.294
13,13,7,results\MNISTInputPassThroughTest\run_20260720_140500\closed_loop_input_final_voltage.csv,13,4.234,4.14,4.133,4.042,3.837,4.179,3.785,3.897
14,14,3,results\MNISTInputPassThroughTest\run_20260720_140500\closed_loop_input_final_voltage.csv,14,4.215,4.029,4.164,3.796,3.835,3.893,3.91,4.244
15,15,4,results\MNISTInputPassThroughTest\run_20260720_140500\closed_loop_input_final_voltage.csv,15,4.195,4.089,3.747,4.23,3.636,4.051,3.995,4.16
16,16,6,results\MNISTInputPassThroughTest\run_20260720_140500\closed_loop_input_final_voltage.csv,16,4.201,4.097,4.146,3.931,3.637,4.329,3.654,4.294
17,17,6,results\MNISTInputPassThroughTest\run_20260720_140500\closed_loop_input_final_voltage.csv,17,4.195,4.101,4.141,3.926,3.637,4.329,3.668,4.294
18,18,5,results\MNISTInputPassThroughTest\run_20260720_140500\closed_loop_input_final_voltage.csv,18,4.219,4.071,4.074,4.069,3.977,3.986,3.621,4.294
19,19,4,results\MNISTInputPassThroughTest\run_20260720_140500\closed_loop_input_final_voltage.csv,19,4.125,4.058,3.628,4.23,3.514,3.941,3.995,4.087
